command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_topruins,,,,
blocker,,,0,,,,,,,,
delay,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
blocker,,,0,,,,,,,,
image,,,0,,,,avg_8_16,,,,
blocker,,,0,,,,,,,,
character,,,0,,,,,,,,
imagetween,,,0,,,,,,,,
character,,char_003_kalts_1,0,,,,,,,,
name,糟糕，阿米娅！！,凯尔希,0,,,,,,,まずい、アーミヤ！！,ケルシー
character,,char_010_chen_1,0,,,,,,,,
name,啊......！怎么回事，阿米娅？！,陈,0,,,,,,,ああ……！どうしたんだ、アーミヤ？！,チェン
decision,发生什么了！,,3,1,,,,1;2;3,,何が起こった！,
decision,怎么会......,,3,2,,,,1;2;3,,どうして……,
decision,凯尔希，想想办法！,,3,3,,,,1;2;3,,ケルシー、何とかして！,
predicate,,,0,,1;2;3,,,,,,
character,,char_003_kalts_1,0,,,,,,,,
name,......过来，博士。,凯尔希,0,,,,,,,……おいで、ドクター。,ケルシー
name,接下来我要做的这件事，你不可以告诉任何人。,凯尔希,0,,,,,,,これから私がすることは、誰にも言ってはいけません。,ケルシー
name,龙门的陈长官！,凯尔希,0,,,,,,,龍門のチェン長官！,ケルシー
character,,char_010_chen_1,0,,,,,,,,
name,不再是了。,陈,0,,,,,,,もう違う。,チェン
character,,char_003_kalts_1,0,,,,,,,,
name,那就请你帮我看住那边那条龙。之后我们会立刻对她进行收监。你有任何问题吗？,凯尔希,0,,,,,,,それなら、あちらのあのドラゴンを見ていてくれ。すぐに彼女を拘束する。何か質問は？,ケルシー
character,,char_010_chen_1,0,,,,,,,,
name,先照顾阿米娅吧。,陈,0,,,,,,,まずはアーミヤを見ろ。,チェン
dialog,,,0,,,,,,,,
blocker,,,0,,,,,,,,
image,,,0,,,,,,,,
character,,char_003_kalts_1,0,,,,,,,,
name,好。博士，把手伸出来。,凯尔希,0,,,,,,,わかった。ドクター、手を差し出して。,ケルシー
decision,好！,,3,1,,,,1;2;3,,はい！,
decision,（伸出手）,,3,2,,,,1;2;3,,（手を差し出す）,
decision,我就算退后你也会拽住我对不对？,,3,3,,,,1;2;3,,後ずさりしても、あなたは私を引き止めるでしょう？,
predicate,,,0,,1;2;3,,,,,,
name,哎。不会痛，但是，不要问。,凯尔希,0,,,,,,,ええ。痛くはない。でも、聞かないで。,ケルシー
name,我会将这根注射器刺进你的手臂，抽你一点血。其他的不要问。,凯尔希,0,,,,,,,この注射器で腕から少し血を取るわ。他は聞かないで。,ケルシー
name,就当为了你自己好。,凯尔希,0,,,,,,,君自身のためだと思って。,ケルシー
decision,这是......,,1,1,,,,1,,これは……,
predicate,,,0,,1,,,,,,
name,不要问。,凯尔希,0,,,,,,,聞かないで。,ケルシー
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
,她说的对，的确没有什么感觉。,,0,,,,,,,彼女の言う通り、本当に何も感じない。,
,凯尔希将你新鲜的血液装进了腰间的仪器，数秒后，她将淡青色的成品输送进了阿米娅的脖颈。,,0,,,,,,,ケルシーは新鮮な血液を腰の機械に入れ、数秒後に淡い青色の完成品をアーミヤの首に送り込んだ。,
,阿米娅的呼吸渐趋平稳。,,0,,,,,,,アーミヤの呼吸が徐々に落ち着いた。,
dialog,,,0,,,,,,,,
