command,text_orig,key,is_skippable,fit_mode,intro,volume,delay,time,x,y,alignment,size,width,a,r,g,b,afrom,rfrom,gfrom,bfrom,fadetime,block,effect,keep,initamount,amount,image,tiled,name,xScale,yScale,crossfade,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,xstrength,ystrength,vibrato,randomness,fadeout,Delay,height,initr,screenadapt,name2,focus,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$distressed_loop,,,$distressed_intro,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
subtitle,从切尔诺伯格醒来，已经过去了多久了？,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
subtitle,转眼之间，恍如隔世。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
subtitle,还记得，那个时候睁眼看到的光，和听到的呼唤声。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
blocker,,,,,,,,,,,,,,1,255,255,255,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
cameraeffect,,,,,,,,,,,,,,,,,,,,,,0,,Grayscale,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
image,,,,,,,,,,,,,,,,,,,,,,0,false,,,,,bg_0_am,true,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
blocker,,,,,,,,,,,,,,0,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
cameraeffect,,,,,,,,,,,,,,,,,,,,,,18,false,Grayscale,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
delay,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,......抱歉......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,模糊的声音,,,,,,,,,,,,,,,,,,,,,,,,17,......抱歉......,……ごめんなさい……,かすかな声,True
name,又让你受苦了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,模糊的声音,,,,,,,,,,,,,,,,,,,,,,,,18,又让你受苦了。,また苦労をかけてしまいました。,かすかな声,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
blocker,,,,,,,,,,,,,,1,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
image,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
subtitle,还记得少女的手的温度。,,,,,,0.04,,300,370,left,24,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
image,,,,,,,,,-100,-50,,,,,,,,,,,,2,true,,,,,avg_0_2,,,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,24,,,,False
blocker,,,,,,,,,,,,,,0,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
