command,text_orig,name,image,name2,index,text,jp_text,jp_name,text_match
header,,,,,0,,,,True
stopmusic,,,,,1,,,,True
dialog,,,,,2,,,,True
delay,,,,,3,,,,True
dialog,,,,,4,,,,True
blocker,,,,,5,,,,True
background,,,bg_topburning,,6,,,,True
playmusic,,,,,7,,,,True
blocker,,,,,8,,,,True
playsound,,,,,9,,,,True
playsound,,,,,10,,,,True
camerashake,,,,,11,,,,True
delay,,,,,12,,,,True
playsound,,,,,13,,,,True
playsound,,,,,14,,,,True
blocker,,,,,15,,,,True
blocker,,,,,16,,,,True
camerashake,,,,,17,,,,True
playsound,,,,,18,,,,True
blocker,,,,,19,,,,True
blocker,,,,,20,,,,True
camerashake,,,,,21,,,,True
playsound,,,,,22,,,,True
blocker,,,,,23,,,,True
blocker,,,,,24,,,,True
delay,,,,,25,,,,True
playsound,,,,,26,,,,True
camerashake,,,,,27,,,,True
blocker,,,,,28,,,,True
blocker,,,,,29,,,,True
delay,,,,,30,,,,True
character,,char_011_talula_1,,,31,,,char_011_talula_1,True
delay,,,,,32,,,,True
name,还不够。这样是不能战胜我的火的。,塔露拉？,,,33,还不够。这样是不能战胜我的火的。,まだ足りない。これでは私の火には勝てない。,タルラ？,True
character,,char_010_chen_1,,,34,,,char_010_chen_1,True
name,哈，哈......,陈,,,35,哈，哈......,は、は……,チェン,True
character,,char_011_talula_1,,,36,,,char_011_talula_1,True
name,无智亦无勇。什么人会喜欢这种演出？,塔露拉？,,,37,无智亦无勇。什么人会喜欢这种演出？,知恵も勇気もない。こんな演技を誰が好むのか？,タルラ？,True
name,陈晖洁，你要为别人挥剑到何时？你有哪怕一次为自己拔出过那把剑吗？,塔露拉？,,,38,陈晖洁，你要为别人挥剑到何时？你有哪怕一次为自己拔出过那把剑吗？,チェン・フイジェ、いつまで他人のために剣を振るうつもりだ？自分のために剣を抜いたことは一度でもあるのか？,タルラ？,True
name,魔王，哈哈......也许诸王庭搞出了一个残劣的次品。,塔露拉？,,,39,魔王，哈哈......也许诸王庭搞出了一个残劣的次品。,魔王、はは……もしかすると王たちの庭が粗悪な不良品を作り出してしまったのかもしれない。,タルラ？,True
name,还不够。还不够，两位。,塔露拉？,,,40,还不够。还不够，两位。,まだ足りない。まだ足りないぞ、お二人とも。,タルラ？,True
dialog,,,,,41,,,,True
blocker,,,,,42,,,,True
character,,,,,43,,,,True
,不，已经够了。,,,,44,不，已经够了。,いいえ、もう十分です。,,True
dialog,,,,,45,,,,True
blocker,,,,,46,,,,True
character,,char_011_talula_1,,,47,,,char_011_talula_1,True
name,再在我脑中说话，我就要将你请出我的思绪了。,塔露拉？,,,48,再在我脑中说话，我就要将你请出我的思绪了。,もう一度私の頭の中で話すなら、君を私の思考から追い出すことになるぞ。,タルラ？,True
character,,char_002_amiya_1#7,,,49,,,char_002_amiya_1#7,True
name,已经足够了。,阿米娅,,,50,已经足够了。,もう十分です。,アーミヤ,True
name,陈长官的情感......,阿米娅,,,51,陈长官的情感......,ドクター・チェンの感情……,アーミヤ,True
name,从赤霄那里流向了我。,阿米娅,,,52,从赤霄那里流向了我。,赤霄から私へと流れてきました。,アーミヤ,True
name,以前，我们两个人是没有关联的。是发生在这里的事情将我们联系在了一起，是我们感染者的命运将我们推向这里......,阿米娅,,,53,以前，我们两个人是没有关联的。是发生在这里的事情将我们联系在了一起，是我们感染者的命运将我们推向这里......,以前、私たち二人は関係がありませんでした。ここで起きた出来事が私たちを結びつけ、感染者としての運命が私たちをここへと導いたのです……。,アーミヤ,True
name,因为我们都认定这片大地的明天，理应比今天更好。,阿米娅,,,54,因为我们都认定这片大地的明天，理应比今天更好。,私たちは皆、この大地の明日は今日よりも良いはずだと信じています。,アーミヤ,True
character,,char_011_talula_1,,,55,,,char_011_talula_1,True
name,晖洁和你不是一种人，卡特斯。,塔露拉？,,,56,晖洁和你不是一种人，卡特斯。,晖洁（フイジェ）とあなたは同じ人種ではありません、カーツ。,タルラ？,True
