command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,,,,,,0,,,,True
stopmusic,,,,,,1,,,,True
delay,,,,,,2,,,,True
dialog,,,,,,3,,,,True
blocker,,,,,,4,,,,True
background,,,,bg_topburning,,5,,,,True
blocker,,,,,,6,,,,True
delay,,,,,,7,,,,True
playmusic,,,,,,8,,,,True
dialog,,,,,,9,,,,True
character,,,,,,10,,,,True
character,,char_011_talula_1,,,,11,,,char_011_talula_1,True
delay,,,,,,12,,,,True
name,魔王......你做得不错。,塔露拉？,,,,13,魔王......你做得不错。,魔王……よくやったわね。,タルラ？,True
name,但你与身边幼龙缺乏来由的自信令我感到不适。,塔露拉？,,,,14,但你与身边幼龙缺乏来由的自信令我感到不适。,しかし、そばにいる幼い龍への理由なき自信が私を不快にさせるわ。,タルラ？,True
character,,avg_npc_087#3,,,,15,,,avg_npc_087#3,True
name,你终于想到要放弃伪装了。,阿米娅,,,,16,你终于想到要放弃伪装了。,やっと偽りの仮面を捨てることを考えたのですね。,アーミヤ,True
character,,char_010_chen_1,,,,17,,,char_010_chen_1,True
name,现在在和我说话的是谁？是变质了的塔露拉，还是一个年轻的科西切？,陈,,,,18,现在在和我说话的是谁？是变质了的塔露拉，还是一个年轻的科西切？,今、私に話しかけているのは誰だ？変質したタルラか、それとも若きコシチェか？,チェン,True
character,,char_011_talula_1,,,,19,,,char_011_talula_1,True
name,斥责我的作为，侮蔑我的人格，不断地将我脑海中的记忆驱赶至眼前——,塔露拉？,,,,20,斥责我的作为，侮蔑我的人格，不断地将我脑海中的记忆驱赶至眼前——,私の行いを責め、人格を侮辱し、絶えず脳裏の記憶を追い立てて――,タルラ？,True
name,你是不是觉得这样就能够让我屈服，令我束手就擒？,塔露拉？,,,,21,你是不是觉得这样就能够让我屈服，令我束手就擒？,それで私が屈服し、手を縛られると思っているのか？,タルラ？,True
name,或者你觉得，在炎国的斩龙剑和萨卡兹的污秽法术下，我就会被压制，然后任由你的法术在我躯壳里游走，为它重夺一个“纯粹”的意志？,塔露拉？,,,,22,或者你觉得，在炎国的斩龙剑和萨卡兹的污秽法术下，我就会被压制，然后任由你的法术在我躯壳里游走，为它重夺一个“纯粹”的意志？,あるいは、炎の国の斬龍剣とサカズの穢れた魔法の下で私が抑え込まれ、あなたの魔法が私の肉体を巡り、『純粋な』意志を取り戻すと思っているのか？,タルラ？,True
name,——你们的信口开河也不过尔尔。,塔露拉？,,,,23,——你们的信口开河也不过尔尔。,――あなたたちのたわ言などせいぜいその程度よ。,タルラ？,True
name,你们为何要与我敌对？,塔露拉？,,,,24,你们为何要与我敌对？,なぜ私と敵対するのか？,タルラ？,True
character,,char_010_chen_1,,,,25,,,char_010_chen_1,True
name,你的傲慢只是助长了你的狂妄，让你一会儿跌倒的样子更难看些。,陈,,,,26,你的傲慢只是助长了你的狂妄，让你一会儿跌倒的样子更难看些。,お前の傲慢はただ暴走を助長し、転ぶ時の姿をより醜くさせるだけだ。,チェン,True
character,,char_011_talula_1,,,,27,,,char_011_talula_1,True
name,幼小的魔王，再幼小也是魔王。尝试说服我，尝试说服我的内心，尝试说服我“有一个意志篡夺了她的身躯”，想要让我从中挣脱。,塔露拉？,,,,28,幼小的魔王，再幼小也是魔王。尝试说服我，尝试说服我的内心，尝试说服我“有一个意志篡夺了她的身躯”，想要让我从中挣脱。,幼き魔王、幼くとも魔王よ。私を説得しようと、私の心を説き伏せようと、『意志が彼女の肉体を奪った』と説こうと、そこから逃れさせようとするのね。,タルラ？,True
character,,avg_npc_087#3,,,,29,,,avg_npc_087#3,True
name,唔......！,阿米娅,,,,30,唔......！,うっ……！,アーミヤ,True
character,,char_011_talula_1,,,,31,,,char_011_talula_1,True
name,事实上，你也不清楚吧？,塔露拉？,,,,32,事实上，你也不清楚吧？,実際のところ、あなたもはっきりとは分かっていないでしょう？,タルラ？,True
