command,text_orig,name,option_number,option_value,references,focus,image,values,name2,index,text,jp_text,jp_name,text_match
header,,,0,,,,,,,0,,,,True
stopmusic,,,0,,,,,,,1,,,,True
delay,,,0,,,,,,,2,,,,True
dialog,,,0,,,,,,,3,,,,True
blocker,,,0,,,,,,,4,,,,True
background,,,0,,,,bg_topburning,,,5,,,,True
blocker,,,0,,,,,,,6,,,,True
delay,,,0,,,,,,,7,,,,True
playmusic,,,0,,,,,,,8,,,,True
dialog,,,0,,,,,,,9,,,,True
character,,,0,,,,,,,10,,,,True
playsound,,,0,,,,,,,11,,,,True
delay,,,0,,,,,,,12,,,,True
camerashake,,,0,,,,,,,13,,,,True
playsound,,,0,,,,,,,14,,,,True
blocker,,,0,,,,,,,15,,,,True
blocker,,,0,,,,,,,16,,,,True
delay,,,0,,,,,,,17,,,,True
playsound,,,0,,,,,,,18,,,,True
camerashake,,,0,,,,,,,19,,,,True
blocker,,,0,,,,,,,20,,,,True
blocker,,,0,,,,,,,21,,,,True
delay,,,0,,,,,,,22,,,,True
character,,char_011_talula_1,0,,,,,,,23,,,char_011_talula_1,True
delay,,,0,,,,,,,24,,,,True
name,做得好。,“不死的黑蛇”,0,,,,,,,25,做得好。,よくやった。,“不死の黒蛇”,True
name,做得真好......,“不死的黑蛇”,0,,,,,,,26,做得真好......,本当によくやった……,“不死の黒蛇”,True
name,这是什么？斩龙的剑没能斩我，魔王的剑没能刺穿我，为什么......我的法术......我的掌控力，还在消退？,“不死的黑蛇”,0,,,,,,,27,这是什么？斩龙的剑没能斩我，魔王的剑没能刺穿我，为什么......我的法术......我的掌控力，还在消退？,これは何だ？ドラゴン斬りの剣は私を斬れず、魔王の剣も突き刺さらなかったのに、なぜ……私の術……私の制御力が、まだ失われていく？,“不死の黒蛇”,True
dialog,,,0,,,,,,,28,,,,True
character,,,0,,,,,,,29,,,,True
,火焰正逐渐消退。虽然那温度依然足以杀人，但已不再有数分钟前那样暴烈。,,0,,,,,,,30,火焰正逐渐消退。虽然那温度依然足以杀人，但已不再有数分钟前那样暴烈。,炎は徐々に消えつつある。温度は依然として人を殺せるほどだが、数分前のような激しさはもうない。,,True
character,,char_010_chen_1#5,0,,,,,,,31,,,char_010_chen_1#5,True
,陈染血的手颤抖不止。她几乎不再眨眼。,,0,,,,,,,32,陈染血的手颤抖不止。她几乎不再眨眼。,チェンの血まみれの手は震えが止まらない。彼女はほとんど瞬きもしない。,,True
character,,char_011_talula_1,0,,,,,,,33,,,char_011_talula_1,True
name,......,塔露拉？,0,,,,,,,34,......,……,タルラ？,True
name,你感到欣喜吗？,塔露拉？,0,,,,,,,35,你感到欣喜吗？,お喜びですか？,タルラ？,True
name,这滋味好吗？,塔露拉？,0,,,,,,,36,这滋味好吗？,その気持ちはいかがですか？,タルラ？,True
name,你们如此接近胜利，表情却为何还这样凝重？,塔露拉？,0,,,,,,,37,你们如此接近胜利，表情却为何还这样凝重？,これほど勝利に近づいているのに、なぜその表情はそんなに重く沈んでいるのですか？,タルラ？,True
name,胜利近在你们眼前......不是吗？,塔露拉？,0,,,,,,,38,胜利近在你们眼前......不是吗？,勝利はあなた方の目の前にある……そうではありませんか？,タルラ？,True
character,,char_010_chen_1#5,0,,,,,,,39,,,char_010_chen_1#5,True
name,......唔呃。,陈,0,,,,,,,40,......唔呃。,……うっ。,チェン,True
name,法术解开了......能说话了。,陈,0,,,,,,,41,法术解开了......能说话了。,術が解けた……話せる。,チェン,True
name,阿米娅，别大意。我们的体力也......,陈,0,,,,,,,42,阿米娅，别大意。我们的体力也......,アーミヤ、油断しないでください。私たちの体力も……,チェン,True
character,,char_011_talula_1,0,,,,,,,43,,,char_011_talula_1,True
name,你们想要将我自这具身躯中驱除？,塔露拉？,0,,,,,,,44,你们想要将我自这具身躯中驱除？,私をこの体から追い出そうとしているのですか？,タルラ？,True
name,请吧。,塔露拉？,0,,,,,,,45,请吧。,どうぞ。,タルラ？,True
character,,char_010_chen_1#4,0,,,,,,,46,,,char_010_chen_1#4,True
name,你这是在嘲蔑谁？,陈,0,,,,,,,47,你这是在嘲蔑谁？,誰を嘲っているのですか？,チェン,True
character,,char_011_talula_1,0,,,,,,,48,,,char_011_talula_1,True
name,魔王，魔王，你为何一言不发？,塔露拉？,0,,,,,,,49,魔王，魔王，你为何一言不发？,魔王よ、魔王よ、なぜ一言も発しないのですか？,タルラ？,True
name,将我逐出她的身体，你们，你——,塔露拉？,0,,,,,,,50,将我逐出她的身体，你们，你——,私を彼女の身体から追い出す、あなたたち、あなた――,タルラ？,True
name,你能做得到的吧？,塔露拉？,0,,,,,,,51,你能做得到的吧？,あなたにそれができるでしょう？,タルラ？,True
character,,avg_npc_087#3,0,,,,,,,52,,,avg_npc_087#3,True
name,......,阿米娅,0,,,,,,,53,......,......,アーミヤ,True
character,,char_011_talula_1,0,,,,,,,54,,,char_011_talula_1,True
name,审判她与审判我又有什么区别？难道这一切不是我犯下的罪恶吗？,塔露拉？,0,,,,,,,55,审判她与审判我又有什么区别？难道这一切不是我犯下的罪恶吗？,彼女を裁くことと私を裁くことに、何の違いがあるの？これらすべては私が犯した罪ではないの？,タルラ？,True
name,魔王？回答我吧。,塔露拉？,0,,,,,,,56,魔王？回答我吧。,ドクター？答えてください。,タルラ？,True
character,,avg_npc_087#3,0,,,,,,,57,,,avg_npc_087#3,True
name,你说的没错，科西切。,阿米娅,0,,,,,,,58,你说的没错，科西切。,おっしゃる通りです、コシチェ。,アーミヤ,True
name,如果她完完全全不愿意的话，那些事......你是做不了的。,阿米娅,0,,,,,,,59,如果她完完全全不愿意的话，那些事......你是做不了的。,彼女が全く同意しないなら、そのことは……あなたにはできません。,アーミヤ,True
character,,char_010_chen_1,0,,,,,,,60,,,char_010_chen_1,True
name,......,陈,0,,,,,,,61,......,......,チェン,True
character,,avg_npc_087#3,0,,,,,,,62,,,avg_npc_087#3,True
name,属于你的那些想法......无论是不是被扭曲过，那都确实来自......塔露拉本人。,阿米娅,0,,,,,,,63,属于你的那些想法......无论是不是被扭曲过，那都确实来自......塔露拉本人。,あなたのものと思われるその考えは……歪んでいても確かに……タルラ本人のものです。,アーミヤ,True
dialog,,,0,,,,,,,64,,,,True
blocker,,,0,,,,,,,65,,,,True
image,,,0,,,,avg_8_12,,,66,,,,True
blocker,,,0,,,,,,,67,,,,True
character,,,0,,,,,,,68,,,,True
imagetween,,,0,,,,,,,69,,,,True
name,你！,陈,0,,,,,,,70,你！,あなた！,チェン,True
name,你想伤害塔露拉小姐的肉体？！,阿米娅,0,,,,,,,71,你想伤害塔露拉小姐的肉体？！,タルラさんのお身体を傷つけようとしているのですか？！,アーミヤ,True
name,你要做什么？！把剑放下！,陈,0,,,,,,,72,你要做什么？！把剑放下！,何をするつもりだ？！剣を置け！,チェン,True
name,你见过有人在你面前自刎吗，“妹妹”？,塔露拉？,0,,,,,,,73,你见过有人在你面前自刎吗，“妹妹”？,あなたの前で自害する人を見たことがありますか、「妹」？,タルラ？,True
name,就算是德拉克的肉体也没可能承受这把剑的锋利。,塔露拉？,0,,,,,,,74,就算是德拉克的肉体也没可能承受这把剑的锋利。,たとえドラコの身体でもこの剣の鋭さには耐えられません。,タルラ？,True
name,我做不了她不想做的事情。,塔露拉？,0,,,,,,,75,我做不了她不想做的事情。,彼女がやりたくないことは、私にはできません。,タルラ？,True
name,那么，塔露拉还能继续活下去吗？,塔露拉？,0,,,,,,,76,那么，塔露拉还能继续活下去吗？,では、タルラはこれからも生き続けられるのでしょうか？,タルラ？,True
name,你想都别想！,陈,0,,,,,,,77,你想都别想！,考えもしないでくれ！,チェン,True
name,她心底的绝望，无法摆脱的耻辱，是否足够浓郁，浓郁到让她想要——,塔露拉？,0,,,,,,,78,她心底的绝望，无法摆脱的耻辱，是否足够浓郁，浓郁到让她想要——,彼女の心の底にある絶望、抜け出せない恥辱は、十分に濃厚で、彼女に――,タルラ？,True
name,——,塔露拉？,0,,,,,,,79,——,――,タルラ？,True
name,自尽？,塔露拉？,0,,,,,,,80,自尽？,自殺を？,タルラ？,True
name,科西切！你对塔露拉小姐做的一切......都是没法被原谅的！,阿米娅,0,,,,,,,81,科西切！你对塔露拉小姐做的一切......都是没法被原谅的！,コシチェ！タルラさんにしたことは……決して許されるものではありません！,アーミヤ,True
name,不管你是不是只是她身上的一个影子，或者是她苏醒的一个障碍，还是说你就是她的另一面......无论塔露拉犯了多少错，你都不可能是对的。,阿米娅,0,,,,,,,82,不管你是不是只是她身上的一个影子，或者是她苏醒的一个障碍，还是说你就是她的另一面......无论塔露拉犯了多少错，你都不可能是对的。,あなたが彼女の体にいるただの影であろうと、彼女の目覚めの障害であろうと、あるいは彼女のもう一つの側面であろうと……タルラがどれだけ過ちを犯そうと、あなたが正しいことにはなりません。,アーミヤ,True
name,我只是在“教育”她。,塔露拉？,0,,,,,,,83,我只是在“教育”她。,私はただ「教育」しているだけです。,タルラ？,True
name,我的失败源自我依然还存在的坚持。等你们遇到没有坚持的人就会了解到，痛苦这个词汇里，到底包含多少东西。,塔露拉？,0,,,,,,,84,我的失败源自我依然还存在的坚持。等你们遇到没有坚持的人就会了解到，痛苦这个词汇里，到底包含多少东西。,私の失敗はまだ存在する執着から来ています。執着を持たない人に出会った時、苦痛という言葉がどれほどのものを含んでいるか理解できるでしょう。,タルラ？,True
name,就像她那些可悲的成为了她牺牲品的乌萨斯战士们，也只是她脚下的坚实道路。,塔露拉？,0,,,,,,,85,就像她那些可悲的成为了她牺牲品的乌萨斯战士们，也只是她脚下的坚实道路。,彼女の哀れな犠牲となったウルサス戦士たちも、ただ彼女の足元の堅い道に過ぎません。,タルラ？,True
name,这些感染者，这些可悲的感染者，明明是该发挥它们那世俗不容的价值的感染者们......现在也浪费了。,塔露拉？,0,,,,,,,86,这些感染者，这些可悲的感染者，明明是该发挥它们那世俗不容的价值的感染者们......现在也浪费了。,これらの感染者、哀れな感染者たちは、本来世俗に拒まれた価値を発揮すべきだったのに……今は無駄になっています。,タルラ？,True
name,即使是我也只是她脚下的路。如果我成功杀了你的话，“妹妹”......之后就不会有那么多事情。,塔露拉？,0,,,,,,,87,即使是我也只是她脚下的路。如果我成功杀了你的话，“妹妹”......之后就不会有那么多事情。,私でさえも彼女の足元の道に過ぎません。もし私があなたを殺せたなら、「妹」……その後はそんなに色々なことは起こらないでしょう。,タルラ？,True
name,你可以说我们是黑蛇，也可以说，我就是塔露拉。,塔露拉？,0,,,,,,,88,你可以说我们是黑蛇，也可以说，我就是塔露拉。,私たちをブラックスネークと言ってもいいし、私自身がタルラだと言ってもいい。,タルラ？,True
name,陈晖洁呀，陈晖洁。塔露拉与我也只是各式父女中的其中一种罢了。,塔露拉？,0,,,,,,,89,陈晖洁呀，陈晖洁。塔露拉与我也只是各式父女中的其中一种罢了。,チェン・フイジエよ、チェン・フイジエ。タルラと私は様々な親子関係の一つに過ぎません。,タルラ？,True
name,也许魏彦吾与我也很像。,塔露拉？,0,,,,,,,90,也许魏彦吾与我也很像。,多分、ウェイ・ヤンウーも私にとても似ている。,タルラ？,True
name,你还好意思这么说？！牺牲自己的“女儿”？他和你一点都不像！,陈,0,,,,,,,91,你还好意思这么说？！牺牲自己的“女儿”？他和你一点都不像！,よくもそんなことが言えるな？！自分の「娘」を犠牲にするなんて？彼はあなたとは全く似ていない！,チェン,True
name,不，不对......你不能——,阿米娅,0,,,,,,,92,不，不对......你不能——,ダメ、違います……あなたは――,アーミヤ,True
name,已经晚了，魔王。我不会让我的秘密被你们拿下。,塔露拉？,0,,,,,,,93,已经晚了，魔王。我不会让我的秘密被你们拿下。,もう遅いのです、ドクター。私の秘密をあなたたちに渡すつもりはありません。,タルラ？,True
name,科西切，你想杀死陈小姐，是因为你想彻底杀死塔露拉！,阿米娅,0,,,,,,,94,科西切，你想杀死陈小姐，是因为你想彻底杀死塔露拉！,コシチェ、あなたがチェンさんを殺そうとしているのは、タルラを完全に殺そうとしているからです！,アーミヤ,True
name,现在，你做不到了。我们唤起的她的记忆，已经在她脑海中回荡了足够长的时间。她没办法再忍受了。,阿米娅,0,,,,,,,95,现在，你做不到了。我们唤起的她的记忆，已经在她脑海中回荡了足够长的时间。她没办法再忍受了。,今はもうできません。私たちが呼び起こした彼女の記憶は、彼女の頭の中で十分な時間響き続けています。彼女はこれ以上耐えられません。,アーミヤ,True
name,塔露拉小姐！请你记住......请你回想起来你自己是谁！,阿米娅,0,,,,,,,96,塔露拉小姐！请你记住......请你回想起来你自己是谁！,タルラさん！どうか覚えていてください……あなたが誰であるかを思い出してください！,アーミヤ,True
name,无论是怎样的牺牲，如果是你的话......你才会是那个想第一个去为了他们牺牲的人不是吗！,阿米娅,0,,,,,,,97,无论是怎样的牺牲，如果是你的话......你才会是那个想第一个去为了他们牺牲的人不是吗！,どんな犠牲であっても、あなたなら……あなたが最初に彼らのために犠牲になることを望む人でしょう！,アーミヤ,True
name,想一想霜星，想一想浮士德......想一想所有相信你的战士，以及想一想你自己！,阿米娅,0,,,,,,,98,想一想霜星，想一想浮士德......想一想所有相信你的战士，以及想一想你自己！,シュアンシンのことを思い出して、フースドのことを思い出して……あなたを信じる全ての戦士たち、そしてあなた自身のことを考えてください！,アーミヤ,True
name,你真的想就这样被我们取走生命吗......！以这副任人摆弄的身体死去，你不会心甘情愿的！,阿米娅,0,,,,,,,99,你真的想就这样被我们取走生命吗......！以这副任人摆弄的身体死去，你不会心甘情愿的！,あなたは本当にこのまま私たちに命を奪われたいのですか……！こんな弄ばれる身体で死ぬなんて、心から望むはずがありません！,アーミヤ,True
name,如果你要是感到悔恨，要是会因此感到罪恶，也应该作为你自己，而不是一个诅咒的承载体，一个远古邪恶的受害者来承担......！,阿米娅,0,,,,,,,100,如果你要是感到悔恨，要是会因此感到罪恶，也应该作为你自己，而不是一个诅咒的承载体，一个远古邪恶的受害者来承担......！,もしあなたが後悔を感じ、それが罪悪感をもたらすなら、それは呪いの運び手でも、遠古の邪悪の犠牲者でもなく、あなた自身として背負うべきです……！,アーミヤ,True
name,哪怕你想要死去，你也得作为塔露拉而死！作为那个想要改变雪原，改变感染者命运的塔露拉而死！,阿米娅,0,,,,,,,101,哪怕你想要死去，你也得作为塔露拉而死！作为那个想要改变雪原，改变感染者命运的塔露拉而死！,たとえ死にたいと思っても、タルラとして死ななければなりません！雪原を変え、感染者の運命を変えようとするタルラとして死ぬのです！,アーミヤ,True
name,塔露拉小姐，我知道！,阿米娅,0,,,,,,,102,塔露拉小姐，我知道！,タルラさん、私、わかっています！,アーミヤ,True
name,我知道你不是为了事业成功才去为了感染者而战的......哪怕失败了那也没有关系！你这么做，是因为你认为这么做是对的！,阿米娅,0,,,,,,,103,我知道你不是为了事业成功才去为了感染者而战的......哪怕失败了那也没有关系！你这么做，是因为你认为这么做是对的！,あなたが感染者のために戦うのは成功のためではないこと、私はわかっています……失敗しても構わない！あなたがそうするのは、それが正しいと思うからです！,アーミヤ,True
name,所以，无论我们面对的是怎么样的人、怎么样的大地......我们不都是会走下去，走到我们真的能够倒下为止吗！,阿米娅,0,,,,,,,104,所以，无论我们面对的是怎么样的人、怎么样的大地......我们不都是会走下去，走到我们真的能够倒下为止吗！,だから、どんな人に、どんな大地に直面しても……私たちは皆、最後まで歩き続け、倒れるまで進むはずです！,アーミヤ,True
name,你不就是这样坚定的人吗......你所认识的，不都是那样坚定的人吗！,阿米娅,0,,,,,,,105,你不就是这样坚定的人吗......你所认识的，不都是那样坚定的人吗！,あなたはそういう強い人ではありませんか……あなたが知る人々も皆、そう強い人たちではありませんか！,アーミヤ,True
name,塔露拉，你就甘心做这条蛇的傀儡吗？,陈,0,,,,,,,106,塔露拉，你就甘心做这条蛇的傀儡吗？,タルラ、君はこの蛇の操り人形になることを甘んじて受け入れるのか？,チェン,True
name,你就甘心这样结束？这是我认识的塔露拉吗？,陈,0,,,,,,,107,你就甘心这样结束？这是我认识的塔露拉吗？,こんな終わり方を甘んじるのか？それが俺の知るタルラか？,チェン,True
name,你这样也配做......感染者的领袖吗！,陈,0,,,,,,,108,你这样也配做......感染者的领袖吗！,そんなお前に……感染者のリーダーの資格があるのか！,チェン,True
dialog,,,0,,,,,,,109,,,,True
blocker,,,0,,,,,,,110,,,,True
image,,,0,,,,,,,111,,,,True
blocker,,,0,,,,,,,112,,,,True
character,,,0,,,,,,,113,,,,True
blocker,,,0,,,,,,,114,,,,True
subtitle,......我不配。,,0,,,,,,,115,......我不配。,……私はふさわしくありません。,,True
subtitle,,,0,,,,,,,116,,,,True
blocker,,,0,,,,,,,117,,,,True
character,,char_010_chen_1#4,0,,,,,,,118,,,char_010_chen_1#4,True
name,唔！,陈,0,,,,,,,119,唔！,うっ！,チェン,True
character,,avg_npc_087#3,0,,,,,,,120,,,avg_npc_087#3,True
name,难道......说......塔露拉小姐......！,阿米娅,0,,,,,,,121,难道......说......塔露拉小姐......！,まさか……つまり……タルラさん……！,アーミヤ,True
dialog,,,0,,,,,,,122,,,,True
character,,,0,,,,,,,123,,,,True
blocker,,,0,,,,,,,124,,,,True
,这绝不是白发的德拉克第一次反抗自己的“父亲”。,,0,,,,,,,125,这绝不是白发的德拉克第一次反抗自己的“父亲”。,これは白髪のドラークが自分の「父親」に反抗するのは初めてではありません。,,True
,感染者的领袖......？,,0,,,,,,,126,感染者的领袖......？,感染者のリーダー……？,,True
dialog,,,0,,,,,,,127,,,,True
subtitle,我从来都不是。,,0,,,,,,,128,我从来都不是。,私は決してそうではありません。,,True
subtitle,,,0,,,,,,,129,,,,True
,他教育给自己的一切都是他的阴谋。而阴谋是赤裸裸的表达。,,0,,,,,,,130,他教育给自己的一切都是他的阴谋。而阴谋是赤裸裸的表达。,彼が自分に教えたすべては彼の陰謀です。そして陰謀はあからさまな表現です。,,True
,即使她知道这一切，但她还是没能阻止自己。,,0,,,,,,,131,即使她知道这一切，但她还是没能阻止自己。,彼女はすべてを知っていても、自分を止めることができませんでした。,,True
,在她憎恨那些她无法忍受的事情之前，她首先......,,0,,,,,,,132,在她憎恨那些她无法忍受的事情之前，她首先......,彼女が耐えられないことを憎む前に、まず……,,True
,憎恨自己。,,0,,,,,,,133,憎恨自己。,自分自身を憎みました。,,True
dialog,,,0,,,,,,,134,,,,True
subtitle,我失败了。我陷入了你的陷阱。更可恨的是，这一切都是我自己做的。,,0,,,,,,,135,我失败了。我陷入了你的陷阱。更可恨的是，这一切都是我自己做的。,私は失敗しました。あなたの罠に陥りました。さらに憎らしいのは、このすべてが自分のせいだということです。,,True
