command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
background,,,,bg_chercen_2,,,
blocker,,,,,,,
,中央区,,,,,中央区,
name,救，救命......！,整合运动成员,,,,助けて、助けてください……！,整合運動のメンバー
name,我们也是整合运动，为什么要这么做？你们萨卡兹就这么恩将仇报吗！,整合运动成员,,,,私たちも整合運動です。なぜこんなことを？あなたたちサカズは恩を仇で返すのですか！,整合運動のメンバー
character,,avg_npc_042,,,,,
name,......怎么回事？,迷迭香,,,,……どういうこと？,ローズマリー
character,,,,,,,
name,据守街垒的萨卡兹人正在屠杀整合运动......,迷迭香小队成员,,,,街の砦を守るサカズ人が整合運動を殺戮しています……,ローズマリーチームのメンバー
name,队长？,迷迭香小队成员,,,,隊長？,ローズマリーチームのメンバー
character,,avg_npc_042,,,,,
name,帮助受害者。,迷迭香,,,,被害者を助けてください。,ローズマリー
character,,,,,,,
name,队长你去？,迷迭香小队成员,,,,隊長、あなたが行きますか？,ローズマリーチームのメンバー
character,,avg_npc_042,,,,,
name,嗯，我去。,迷迭香,,,,はい、私が行きます。,ローズマリー
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
background,,,,bg_chercen_2,,,
blocker,,,,,,,
character,,char_1002_nsabr_2,,,,,
name,呜......呃......为什么，为什么！！,整合运动成员,,,,うっ……あっ……なぜ、なぜなのですか！！,整合運動のメンバー
name,整合运动怎么变成这样......怎么变成这样！不是说要团结吗？不是说我们......我们是一家人，是亲人吗！,整合运动成员,,,,整合運動がどうしてこんなことに……こんなふうになるなんて！団結すると言っていませんでしたか？私たちは……家族で、親しい仲間ではありませんか！,整合運動のメンバー
character,,avg_npc_053,,,,,
name,......,萨卡兹雇佣兵,,,,……,サカズの傭兵
name,再见——,萨卡兹雇佣兵,,,,さようなら——,サカズの傭兵
character,,,,,,,
name,停下。,迷迭香,,,,止まりなさい。,ローズマリー
character,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
playsound,,,,,,,
blocker,,,,,,,
camerashake,,,,,,,
delay,,,,,,,
character,,avg_npc_053,,,,,
name,！,萨卡兹雇佣兵,,,,！,サカズの傭兵
name,重型武器投掷手，小心！,萨卡兹雇佣兵,,,,重火器投擲手、注意！,サカズの傭兵
name,！,萨卡兹雇佣兵,,,,！,
name,漂浮在空中的巨型武器......,萨卡兹雇佣兵,,,,空中に浮かぶ巨大な武器……,サカズ傭兵
name,是你，菲林，是你干的？你，术师？,萨卡兹雇佣兵,,,,お前か、フェリン、お前がやったのか？お前、術師か？,サカズ傭兵
character,,avg_npc_042,,,,,
name,放下武器。,迷迭香,,,,武器を置いてください。,ローズマリー
character,,avg_npc_042,1,,char_1002_nsabr_2,,
name,没事了，快走吧。,迷迭香,,,,もう大丈夫ですから、早く行きましょう。,ローズマリー
character,,avg_npc_042,2,,char_1002_nsabr_2,,
name,去，去哪？我们已经，我的队友，同乡，他们都......他们都......,整合运动成员,,,,ど、どこへ？もう、私の仲間も、同郷の者も、みんな……みんな……,統合運動メンバー
character,,avg_npc_042,,,,,
name,阿沁，帮他一下。,迷迭香,,,,アチン、彼を助けてください。,ローズマリー
character,,,,,,,
name,知道。过来吧，兄弟。那些萨卡兹不长眼的。,沁,,,,分かりました。こっちへ来てください、兄弟。あのサカズは目が節穴ですから。,アチン
character,,avg_npc_042,,,,,
name,我再说一遍，萨卡兹。放下武器。,迷迭香,,,,もう一度言います、サカズ。武器を置いてください。,ローズマリー
character,,avg_npc_053,,,,,
name,你以为你拿着武器，我们就要停止反抗。,萨卡兹雇佣兵,,,,お前が武器を持っているからって、我々が抵抗をやめると思っているのか。,サカズ傭兵
name,我们不这么以为。,萨卡兹雇佣兵,,,,そんなことはない。,サカズ傭兵
character,,avg_npc_042,,,,,
name,那你是想被杀死？,迷迭香,,,,それなら、殺されたいのですか？,ローズマリー
character,,avg_npc_053,,,,,
name,我们没什么好选的。,萨卡兹雇佣兵,,,,我々には選択肢がない。,サカズ傭兵
character,,avg_npc_042,,,,,
name,攻击自己的同伴，伤害自己的同胞——,迷迭香,,,,仲間を攻撃し、同胞を傷つける――,ローズマリー
character,,avg_npc_053,,,,,
