command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,time,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,afrom,rfrom,gfrom,bfrom,Delay,effect,keep,amount,index,text,jp_text,jp_name,text_match
header,现在线4,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,,,bg_topout,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
playmusic,,$nervous_loop,,,,,,,,,,,$nervous_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,1,true,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,你刚刚说的这些......什么意思？,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,,,7,你刚刚说的这些......什么意思？,今あなたが言ったこと……どういう意味ですか？,ロドスオペレーター,True
character,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,“罗德岛，我邀请你们一同战斗。”,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,9,“罗德岛，我邀请你们一同战斗。”,「ロドス、君たちを共に戦うために招待する。」,シールドガード,True
name,我是这么说的。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,10,我是这么说的。,そう言ったんだ。,シールドガード,True
name,我只会说乌萨斯语，你也是用乌萨斯语问我的。你应该听懂了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,11,我只会说乌萨斯语，你也是用乌萨斯语问我的。你应该听懂了。,俺はウルサス語しか話せない。君もウルサス語で俺に聞いた。だから理解できただろう。,シールドガード,True
name,你们比我们更熟悉切尔诺伯格这些工业机器吧？你们受到的这方面的训练肯定比我们多。我们更会打仗。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,12,你们比我们更熟悉切尔诺伯格这些工业机器吧？你们受到的这方面的训练肯定比我们多。我们更会打仗。,君たちの方がチェルノボーグの工業機械に詳しいだろう？その訓練も俺たちより多く受けているはずだ。戦いなら俺たちの方が得意だが。,シールドガード,True
name,如果你们也要去指挥塔，那你们肯定也安排好了去关掉这玩意的人。不能让它封闭道路。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,13,如果你们也要去指挥塔，那你们肯定也安排好了去关掉这玩意的人。不能让它封闭道路。,君たちが指揮塔へ行くなら、これを止めに行く人員も手配してあるはずだ。この装置が道を塞ぐことは許されない。,シールドガード,True
name,游击队必须分兵。如果游击队不把四分之三的力量分出去保护其他地方的感染者，那他们会被杀死。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,14,游击队必须分兵。如果游击队不把四分之三的力量分出去保护其他地方的感染者，那他们会被杀死。,ゲリラ部隊は兵を分けなければならない。もし戦力の4分の3を他の場所の感染者保護に当てなければ、彼らは殺されてしまう。,シールドガード,True
name,塔露拉手下的整合运动已经陷入疯癫，发生在切尔诺伯格的报复事件已经够多了。,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,,,,,,,,,,15,塔露拉手下的整合运动已经陷入疯癫，发生在切尔诺伯格的报复事件已经够多了。,タルラの率いる統合運動は既に狂気に陥っている。チェルノボーグで起きた報復事件ももう十分多い。,シールドガード,True
