command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,现在线5,,0,,,,,,,現在線5,
character,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_topout,,,,
blocker,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
character,,,0,,,,,,,,
dialog,,,0,,,,,,,,
playsound,,,0,,,,,,,,
delay,,,0,,,,,,,,
character,,avg_npc_012,0,,,,,,,,
name,通讯接通了！！,罗德岛干员,0,,,,,,,通信が繋がりました！！,ロドスのオペレーター
character,,,0,,,,,,,,
dialog,,,0,,,,,,,,
name,是队长吗？,迷迭香小队成员,0,,,,,,,隊長ですか？,ローズマリーチームメンバー
character,,avg_npc_042,0,,,,,,,,
name,是我，是我！你们现在怎么样了？,迷迭香,0,,,,,,,私です、私です！皆さんは今どうしていますか？,ローズマリー
character,,,0,,,,,,,,
name,我们其他人还好，虽然现在被困在地下这个建筑里了，但我们找到了通道用门。,迷迭香小队成员,0,,,,,,,私たち他のメンバーは大丈夫ですが、今はこの地下の建物に閉じ込められています。ただ、通路の扉は見つけました。,ローズマリーチームメンバー
name,过段时间我们找到其他出口就来和你们汇合。,迷迭香小队成员,0,,,,,,,しばらくして他の出口を見つけたら、合流します。,ローズマリーチームメンバー
name,我们已经切断了重启功能。你们要过来也可以放心，整片区域都能用来防守了，可以不用担心会被人打个措手不及。,迷迭香小队成员,0,,,,,,,私たちはもう再起動機能を切断しました。そちらも来ても大丈夫です。この区域全体が防衛可能なので、不意を突かれることはありません。,ローズマリーチームメンバー
name,但是......,迷迭香小队成员,0,,,,,,,しかし……,ローズマリーチームメンバー
name,碧银姐，碧银姐她......,迷迭香小队成员,0,,,,,,,碧銀姉さん、碧銀姉さんが……,ローズマリーチームメンバー
character,,avg_npc_042,0,,,,,,,,
name,呃！,迷迭香,0,,,,,,,あっ！,ローズマリー
character,,,0,,,,,,,,
name,......不，不，迷迭香！等等！,迷迭香小队成员,0,,,,,,,……違う、違う、ローズマリー！待って！,ローズマリーチームメンバー
name,继续任务......不准来找我们！我们出来之前，你签过保证书的！,迷迭香小队成员,0,,,,,,,任務続行……私たちを探しに来てはダメ！外に出るまで、あなたは誓約書にサインしたんだから！,ローズマリーチームメンバー
character,,avg_npc_042,0,,,,,,,,
name,可是......！,迷迭香,0,,,,,,,でも……！,ローズマリー
character,,,0,,,,,,,,
name,既然答应了，就不能反悔！否则我们是不会支持你，也不会跟着你来到切城的。,迷迭香小队成员,0,,,,,,,約束した以上、後戻りはできません！そうでなければ私たちはあなたを支持しませんし、一緒にこの街に来ませんでした。,ローズマリーチームメンバー
name,还记得我们加入你小队的时候，我们商量了什么吗？,迷迭香小队成员,0,,,,,,,私たちがあなたのチームに入る時、何を話し合ったか覚えていますか？,ローズマリーチームメンバー
name,听着，队长，听我说......我们说过，每个精英干员和他们的小队都不一样。,迷迭香小队成员,0,,,,,,,聞いて、隊長、私の話を……私たちはこう言った、エリートオペレーターそれぞれのチームは違うと。,ローズマリーチームメンバー
name,你能做的事情很多，你的法术很强，我们实际上支援不了你什么。,迷迭香小队成员,0,,,,,,,あなたができることは多いし、あなたの術は強い。私たちは実際、あまり支援できません。,ローズマリーチームメンバー
name,但是，你没法忍受的那些东西，我们是会和你共同承担的，和阿米娅一样，和其他精英干员一样。,迷迭香小队成员,0,,,,,,,しかし、あなたが耐えられないものは、私たちが共に背負います。アーミヤと同じように、他のエリートオペレーターたちと同じように。,ローズマリーチームメンバー
character,,avg_npc_042,0,,,,,,,,
name,但你们都是我的队员！,迷迭香,0,,,,,,,でも君たちは私の隊員です！,ローズマリー
character,,,0,,,,,,,,
name,别急！,迷迭香小队成员,0,,,,,,,焦らないで！,ローズマリーチームメンバー
name,碧银姐她最后说了，我们答应过你......,迷迭香小队成员,0,,,,,,,碧銀姉さんが最後に言った、私たちはあなたに約束した……,ローズマリーチームメンバー
name,要让你成长成一个战士，不是士兵，也不是武器。,迷迭香小队成员,0,,,,,,,あなたを戦士に育てる、兵士ではなく、武器でもなく。,ローズマリーチームメンバー
name,队长，做你该做的。我们会安全出来的。,迷迭香小队成员,0,,,,,,,隊長、あなたのすべきことをしてください。私たちは無事に出てきます。,ローズマリーチームメンバー
name,听好，队长，这可能很难。但碧银姐就是这么说了。,迷迭香小队成员,0,,,,,,,よく聞いて、隊長、これは難しいかもしれない。でも碧銀姉さんはそう言いました。,ローズマリーチームメンバー
name,“你不只是精英干员，你是迷迭香。不光队员们，罗德岛以及感染者，这里讨厌失去和破坏的人......都会爱你。”,迷迭香小队成员,0,,,,,,,“あなたはただのエリートオペレーターじゃない、あなたはローズマリー。隊員だけでなく、ロドスも感染者も、ここでは失うことや破壊を嫌う人々……みんなあなたを愛します。”,ローズマリーチームメンバー
name,所以，队长，“想想看，‘迷迭香’会做什么”。,迷迭香小队成员,0,,,,,,,だから、隊長、「考えてみて、『ローズマリー』は何をするか」を。,ローズマリーチームメンバー
name,我们挂断了。替我们向阿米娅问好。,迷迭香小队成员,0,,,,,,,こちらは切ります。アーミヤによろしくお伝えください。,ローズマリーチームメンバー
character,,avg_npc_042,0,,,,,,,,
