command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
background,,,,bg_topout,,,
blocker,,,,,,,
playmusic,,,,,,,
character,,,,,,,
dialog,,,,,,,
character,,char_1002_nsabr_1,,,,,
delay,,,,,,,
name,......,整合运动成员,,,,......,整合運動メンバー
character,,avg_npc_058,,,,,
name,拦在指挥塔下，你是哪里的整合运动？,盾卫,,,,指揮塔の下に立っているが、あなたはどこの整合運動ですか？,盾衛
name,是加入，还是逃跑？,盾卫,,,,参加するのか、それとも逃げるのか？,盾衛
name,你要与我们作战，我们也不会拦你！但是这既可耻又毫无意义！,盾卫,,,,お前たちが我々と戦うなら、止めはしない！でもそれは恥ずべきことで、全く意味がない！,盾衛
character,,avg_npc_059,1,,avg_npc_058,,
name,等等......你见过这支小队吗？,罗德岛近卫干员？,,,,ちょっと…この小隊を見たことがありますか？,ロドス近衛オペレーター？
character,,avg_npc_059,2,,avg_npc_058,,
name,没有。自从走出雪原，大多数整合运动的新血液，我都没兴趣认识。,盾卫,,,,いや。雪原を出てから、ほとんどの整合運動の新しい仲間には興味がなかった。,盾衛
character,,avg_npc_059,1,,avg_npc_058,,
name,我怎么觉得，他们并不像是......,罗德岛近卫干员？,,,,私には彼らが…そうは見えないのですが……,ロドス近衛オペレーター？
character,,char_002_amiya_1#7,,,,,
stopmusic,,,,,,,
name,Guard！当心！,阿米娅,,,,ガード！お気をつけください！,アーミヤ
character,,char_1002_nsabr_1,,,,,
name,（暗号）,整合运动成员,,,,（暗号）,整合運動メンバー
dialog,,,,,,,
character,,,,,,,
playsound,,,,,,,
character,,avg_npc_082,,,avg_npc_082,,
delay,,,,,,,
character,,avg_npc_058,,,,,
name,————,盾卫,,,,————,盾衛
playmusic,,,,,,,
camerashake,,,,,,,
name,乌萨斯军！,盾卫,,,,ウルサス軍だ！,盾衛
name,唔咳......！,盾卫,,,,うっ咳……！,盾衛
camerashake,,,,,,,
name,后撤！！是乌萨斯军人！,盾卫,,,,撤退しろ！！ウルサス軍人だ！,盾衛
character,,char_1002_nsabr_1,,,,,
name,......,整合运动成员,,,,......,
character,,avg_npc_058,,,,,
name,你到死都一个字也不会说，是吗？,盾卫,,,,お前は死ぬまで一言も話さないのか？,盾衛
name,你心里想着我是叛徒？,盾卫,,,,お前は心の中で私を裏切り者だと思っているのか？,盾衛
name,想着我们居然敢离开乌萨斯的大军，投奔卑贱的感染者。,盾卫,,,,私たちがウルサスの大軍を離れ、卑しい感染者の元に身を寄せるとは思っていたのか？,盾衛
name,为了他们毫无价值的生命而战，我们既不识时务也不荣誉，所以我们的名字该从所有名册中抹去？,盾卫,,,,彼らの無価値な命のために戦う我々は時勢も無知もなく名誉もない。だから名簿から私たちの名前を消すべきだと？,盾衛
name,或者，你有丈夫或者妻子，你明明不想但还是被你的上级送到这里等死，做阴谋家的棋子，把自己的命丢给别人用......,盾卫,,,,あるいは、夫や妻がいて望まずとも上官にここへ送られ、死を待ち、陰謀の駒として命を他人に捨てさせられているのか……,盾衛
camerashake,,,,,,,
name,可悲！可悲！,盾卫,,,,哀れだ！哀れだ！,盾衛
name,你杀过乌萨斯人吗？你杀的是感染者还是市民？你手上沾血有没有觉得害怕，你晚上是不是睡不着觉？,盾卫,,,,あなたはウーサスの人を殺したことがありますか？殺したのは感染者ですか、それとも市民ですか？手に血をつけて怖くありませんか？夜は眠れませんか？,シールドガード
name,先皇死后......还留在那里的你们这些家伙......都......可悲！,盾卫,,,,先の皇帝が亡くなって...まだそこにいるお前たち...みんな...哀れだ！,シールドガード
character,,avg_npc_059,,,,,
name,别死撑着！快后退！,罗德岛近卫干员？,,,,無理をするな！すぐに退け！,ロードアイランドガード隊員？
