command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
delay,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_topout,,,,
blocker,,,0,,,,,,,,
delay,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
character,,avg_npc_058,0,,,,,,,,
name,这些尸体......已经开始腐败了。,盾卫,0,,,,,,,これらの死体……すでに腐敗し始めています。,盾衛
name,W的人。魔族佬雇佣兵。,盾卫,0,,,,,,,Wの者。魔族の雇われ兵です。,盾衛
name,奇怪，我们没对他们动手。这是私刑，明摆着的暗地处决。,盾卫,0,,,,,,,おかしい、私たちは彼らに手を出していません。これは私刑、明らかに密かに処刑されたものです。,盾衛
character,,avg_npc_059,0,,,,,,,,
name,从很早以前就开始了吗，内部清洗？,罗德岛近卫干员？,0,,,,,,,ずっと前から始まっていたのですか、内部浄化？,ロドス近衛オペレーター？
character,,avg_npc_058,0,,,,,,,,
name,不清楚。可能就是这几天的事。,盾卫,0,,,,,,,はっきりしません。おそらくここ数日のことです。,盾衛
name,但是，很明显的，塔露拉筹谋很久了。可恨，为什么就连我们也没能早点认出她的真面目？她这么会演戏吗，这个魔头！,盾卫,0,,,,,,,しかし、明らかにタルラーは長い間たくらんでいました。憎たらしい、なぜ私たちでさえ彼女の正体に早く気づけなかったのか？よくもそんなに演技ができるものか、この魔王め！,盾衛
character,,avg_npc_059,0,,,,,,,,
name,现在，塔露拉指挥着这些萨卡兹雇佣兵对付我们，不管他们是不是心甘情愿的。那还有杀死雇佣兵的必要吗？这是不是杀一儆百？,罗德岛近卫干员？,0,,,,,,,今、タルラーはこれらのサカズの傭兵を指揮して私たちに立ち向かっている、彼らが心からのものかどうかは問わず。それなら傭兵を殺す必要があるのか？これは見せしめではないか？,ロドス近衛オペレーター？
name,不对，不可能......没人能威胁一个萨卡兹，更别说一群萨卡兹了。,罗德岛近卫干员？,0,,,,,,,違う、不可能……誰も一人のサカズを脅かせないしましてや一群のサカズを脅かせるわけがない。,ロドス近衛オペレーター？
character,,avg_npc_058,0,,,,,,,,
name,呵，没错，“谁要是威胁魔族佬，魔族佬就会杀了谁”，你要问我们游击队这哥几个也是一样的。,盾卫,0,,,,,,,ふん、その通りだ、「誰かが魔族を脅かせば、魔族はその誰かを殺す」、我々ゲリラ隊の兄弟たちも同じだと聞いたか。,盾衛
character,,avg_npc_059,0,,,,,,,,
name,奇怪，他们要是因为追随W所以被杀了，那W究竟站在哪一边？,罗德岛近卫干员？,0,,,,,,,おかしい、彼らがWに従ったために殺されたなら、じゃあWはどちらの側にいるのか？,ロドス近衛オペレーター？
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
name,那你猜猜看我站哪边？答对有奖哦。,？？？,0,,,,,,,それじゃあ私がどちら側にいるか当ててみて？当たれば賞品をあげますよ。,？？？
character,,avg_npc_058,0,,,,,,,,
name,站住！举起手来！,盾卫,0,,,,,,,止まれ！手を挙げろ！,盾衛
character,,avg_npc_042,0,,,,,,,,
name,——！,迷迭香,0,,,,,,,――！,ローズマリー
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
playsound,,,0,,,,,,,,
character,,avg_npc_046#2,0,,,,,,,,
delay,,,0,,,,,,,,
