command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
header,,,0,,,,,,
stopmusic,,,0,,,,,,
delay,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_graduate,,,
blocker,,,0,,,,,,
delay,,,0,,,,,,
playmusic,,,0,,,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
playsound,,,0,,,,,,
character,,avg_npc_090,0,,,,,,
delay,,,0,,,,,,
name,牧群的强度非常高。,罗德岛干员,0,,,,,群れの強度は非常に高いです。,ロドスのオペレーター
name,萨卡兹的变异感染者拥有比普通牧群宿主更强大的恢复能力，他们的智力也更高。,罗德岛干员,0,,,,,サカズの変異感染者は、一般的な群れの宿主よりも強力な回復能力を持ち、知能もより高いです。,ロドスのオペレーター
name,但我们没有任何和他们交流的办法，他们好像......很怪，他们像是活在另一个地方。,罗德岛干员,0,,,,,しかし、私たちは彼らと交流する手段を持っておらず、彼らは…少し変わっていて、まるで別の場所に生きているかのようです。,ロドスのオペレーター
name,另外，这种变异迟早会出事。结晶增长率太高了。,罗德岛干员,0,,,,,それに、この変異はいずれ問題を引き起こします。結晶の成長率が高すぎます。,ロドスのオペレーター
character,,char_003_kalts_1,0,,,,,,
name,空气中结晶粉尘的密度在这里达到了最大。,凯尔希,0,,,,,空気中の結晶粉塵の密度がここで最大になっています。,ケルシー
name,也就是说，也许牧群的操控者已经占据了切尔诺伯格核心城的石棺。,凯尔希,0,,,,,つまり、群れの操縦者は既にチェルノボーグの中心都市の石棺を占拠しているかもしれません。,ケルシー
name,在我们看不见的地方，一切都在发生。,凯尔希,0,,,,,私たちの見えない場所で、すべてが起こっています。,ケルシー
character,,avg_npc_090,0,,,,,,
name,我没办法想象我们后边会遇到什么了。,罗德岛干员,0,,,,,これから何に遭遇するか想像もつきません。,ロドスのオペレーター
name,......被骂也没关系，医生，我还是要说，这事太难了。,罗德岛干员,0,,,,,…怒られても構いません、ドクターですが、これは本当に難しい事案です。,ロドスのオペレーター
name,我们可能在自杀。最关键的是，我真不觉得我们有本事救下这个城市和龙门什么的。,罗德岛干员,0,,,,,私たちは自殺行為をしているのかもしれません。一番重要なのは、この都市やロドスを救う力が自分たちにあるとは本当に思えません。,ロドスのオペレーター
decision,你这不是自降士气吗？,,3,1,,,1;2;3,これは自分たちの士気を下げているのでは？,
decision,......,,3,2,,,1;2;3,……,
decision,但我们有事要做。,,3,3,,,1;2;3,でも、私たちにはやるべきことがあります。,
predicate,,,0,,1;2;3,,,,
character,,char_003_kalts_1,0,,,,,,
name,查德，我记得你有家室。,凯尔希,0,,,,,チャド、あなたに家族がいるのを覚えています。,ケルシー
character,,avg_npc_090,0,,,,,,
name,医生你还记得挺牢，但你记错了，老婆女儿都不要我了。我没有家。,查德,0,,,,,ドクター、あなたはよく覚えていますね。でも間違っています。妻も娘も私を必要としていません。私は家族がいません。,チャド
character,,char_003_kalts_1,0,,,,,,
name,查德，你想过和她们再见面，和她们再一起生活下去吗？,凯尔希,0,,,,,チャド、彼女たちに再び会い、一緒に暮らすことを考えたことはありますか？,ケルシー
character,,avg_npc_090,0,,,,,,
name,做梦倒是有做过。,查德,0,,,,,夢を見たことはあります。,チャド
character,,char_003_kalts_1,0,,,,,,
name,把梦实现的第一步，就是让我们有做梦的机会。,凯尔希,0,,,,,夢を実現するための第一歩は、夢を見る機会を持つことです。,ケルシー
