command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
header,,,0,,,,,,
stopmusic,,,0,,,,,,
delay,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_topout,,,
blocker,,,0,,,,,,
delay,,,0,,,,,,
playmusic,,,0,,,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
character,,avg_npc_058,0,,,,,,
name,那些乌萨斯的混账的确混在感染者和雇佣兵队伍里！他们假装是整合运动，所有人都长点眼！,盾卫,0,,,,,あのウルサスのクソ野郎どもは確かに感染者や傭兵の隊列に紛れ込んでいる！彼らは統合運動を装っている、皆しっかり見極めろ！,盾衛
name,除了刚才涂上漆的人，一个都别放过！哪怕是想往里面再走一步，都直接干掉！,盾卫,0,,,,,さっき塗装したやつ以外、一人残らず見逃すな！たとえ一歩でも中に進もうとする奴は即撃ち抜け！,盾衛
character,,avg_npc_059,0,,,,,,
name,可那些整合运动，也是被煽动被骗过来的吧？！一定要杀了他们吗？,罗德岛近卫干员？,0,,,,,でもあの統合運動の者たちも、煽られて騙されて来ているのでは？絶対に彼らを殺さなければいけませんか？,ロドス近衛オペレーター？
character,,avg_npc_058,0,,,,,,
name,这个问题，你该留给过几分钟被他们干掉的你自己！,盾卫,0,,,,,その問題は、数分後に彼らにやられるお前自身に考えさせてやれ！,盾衛
character,,avg_npc_090,0,,,,,,
name,Guard，敌人的火力很猛！那可不是整合运动该有的火力！,罗德岛干员,0,,,,,ガード、敵の火力が強烈です！あれは統合運動が持つべき火力じゃありません！,ロドスオペレーター
character,,avg_npc_059,0,,,,,,
name,该有的火力是什么意思？！！,罗德岛近卫干员？,0,,,,,持つべき火力とはどういう意味ですか！？！,ロドス近衛オペレーター？
character,,avg_npc_058,0,,,,,,
name,如果给我们所有的炮手都配上新式兵器，我们大概能直接攻下切城，用不着靠天灾。,盾卫,0,,,,,もし我々のすべての砲手に新型兵器を与えられれば、たぶん直ちにチェ城を攻略できる、天災に頼る必要もない。,盾衛
name,他们已经顾不得会不会露馅了，现在的他们就是拼了命地往里冲！,盾卫,0,,,,,彼らはもはやバレるかどうかを気にしていない、今の彼らは必死に突撃している！,盾衛
character,,avg_npc_016,0,,,,,,
name,那为什么塔露拉没把他们放在身边？,幻影弩手,0,,,,,それならなぜタルラは彼らを側に置かなかったのですか？,ファントムクロスボウ
character,,avg_npc_058,0,,,,,,
name,因为她害怕！她害怕我们会识破这些人的身手，识破他们的诡计！,盾卫,0,,,,,彼女は恐れている！我々が彼らの腕前を見抜き、策謀を見破るのを恐れている！,盾衛
character,,avg_npc_090,0,,,,,,
name,人太多的话，恐怕她也没法盖得住了。而且，那些武器他们是没法直接拿在手上的。,罗德岛干员,0,,,,,人数が多過ぎれば、彼女も隠しきれなくなるでしょう。そして、あの武器を彼らが直接手にすることはできません。,ロドスオペレーター
name,那些武器怕是早就藏在核心城各个地方，就等这个最混乱的时候了！,罗德岛干员,0,,,,,あの武器はおそらくずっと前からコア城の各所に隠されていて、この最も混乱した時を待っていたのです！,ロドスオペレーター
character,,avg_npc_058,0,,,,,,
name,他们一开始就是被设计来对付我们的！他们想要杀掉我们所有人。但他们错了！不是他们杀掉我们，是我们会杀掉他们！,盾卫,0,,,,,彼らは最初から我々を倒すために仕組まれた！我々全員を殺そうとしている。しかし彼らは間違っている！彼らが我々を倒すのではなく、我々が彼らを倒すのだ！,盾衛
name,保持阵型！前进！,盾卫,0,,,,,陣形を維持せよ！前進！,盾衛
