command,text_orig,name,option_number,option_value,references,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,0,,,,True
stopmusic,,,0,,,,,1,,,,True
playmusic,,,0,,,,,2,,,,True
dialog,,,0,,,,,3,,,,True
character,,,0,,,,,4,,,,True
blocker,,,0,,,,,5,,,,True
background,,,0,,,bg_light,,6,,,,True
delay,,,0,,,,,7,,,,True
,我该向前走。,,0,,,,,8,我该向前走。,私は前に進まなければなりません。,,True
,......,,0,,,,,9,......,......,,True
dialog,,,0,,,,,10,,,,True
blocker,,,0,,,,,11,,,,True
,干员们，喷雾准备！清除当前空间内的粉尘！,,0,,,,,12,干员们，喷雾准备！清除当前空间内的粉尘！,オペレーターの皆さん、スプレーの準備を！現在の空間内のほこりを除去してください！,,True
,......,,0,,,,,13,......,......,,True
dialog,,,0,,,,,14,,,,True
blocker,,,0,,,,,15,,,,True
,我应该向前走。,,0,,,,,16,我应该向前走。,私は前に進むべきです。,,True
,......,,0,,,,,17,......,......,,True
dialog,,,0,,,,,18,,,,True
blocker,,,0,,,,,19,,,,True
,退后！变异已经达到极限了，不准再对个体施加更多压力！,,0,,,,,20,退后！变异已经达到极限了，不准再对个体施加更多压力！,後退！変異は限界に達しています。これ以上個体に圧力をかけてはいけません！,,True
dialog,,,0,,,,,21,,,,True
blocker,,,0,,,,,22,,,,True
,......,,0,,,,,23,......,......,,True
,有人在说话 有人在唱歌。,,0,,,,,24,有人在说话 有人在唱歌。,誰かが話している、誰かが歌っています。,,True
,......,,0,,,,,25,......,......,,True
,所有的梦境都沉进湖底♪,,0,,,,,26,所有的梦境都沉进湖底♪,すべての夢が湖の底に沈む♪,,True
,......,,0,,,,,27,......,......,,True
,生命很重要  很重要,,0,,,,,28,生命很重要  很重要,命はとても大切、とても重要です。,,True
,朋友们失去了生命 他们就离我而去,,0,,,,,29,朋友们失去了生命 他们就离我而去,友達は命を失い、彼らは私から離れていきました。,,True
,他们停下 不会再向前走了,,0,,,,,30,他们停下 不会再向前走了,彼らは立ち止まり、もう前に進みません。,,True
,......,,0,,,,,31,......,......,,True
dialog,,,0,,,,,32,,,,True
subtitle,“......如果你真的有了自己的想法，想要去追随什么......”,,0,,,,,33,“......如果你真的有了自己的想法，想要去追随什么......”,「……もし本当に自分自身の考えがあり、何かを追いかけたいなら……」,,True
subtitle,,,0,,,,,34,,,,True
,......,,0,,,,,35,......,......,,True
dialog,,,0,,,,,36,,,,True
blocker,,,0,,,,,37,,,,True
,Mon3tr！照射点，准备！,,0,,,,,38,Mon3tr！照射点，准备！,Mon3tr！照射点、準備！,,True
dialog,,,0,,,,,39,,,,True
blocker,,,0,,,,,40,,,,True
,......,,0,,,,,41,......,......,,True
,我该去哪里？,,0,,,,,42,我该去哪里？,私はどこへ行けばいいのですか？,,True
,我知道了 我知道了,,0,,,,,43,我知道了 我知道了,わかりました、わかりました。,,True
,但是去哪里都会被打的,,0,,,,,44,但是去哪里都会被打的,でもどこへ行っても殴られます。,,True
,被打很痛 打别人 别人就很痛,,0,,,,,45,被打很痛 打别人 别人就很痛,殴られるのは痛いです。殴ると相手も痛いです。,,True
,不想再痛下去了 但是 现在好痛,,0,,,,,46,不想再痛下去了 但是 现在好痛,もう痛みたくないのに、でも今はとても痛いです。,,True
,......,,0,,,,,47,......,......,,True
dialog,,,0,,,,,48,,,,True
blocker,,,0,,,,,49,,,,True
,这样就可以了吗？！感染者最后都会变成这样吗！,,0,,,,,50,这样就可以了吗？！感染者最后都会变成这样吗！,これでいいのですか？！感染者は最後にみんなこうなってしまうのですか！,,True
dialog,,,0,,,,,51,,,,True
blocker,,,0,,,,,52,,,,True
,......,,0,,,,,53,......,……,,True
,不行 还是得向前走了 他们在担心 不能再让他们担心了,,0,,,,,54,不行 还是得向前走了 他们在担心 不能再让他们担心了,だめだ、やはり前に進まなければ。彼らは心配している。これ以上彼らを心配させるわけにはいかない。,,True
,......,,0,,,,,55,......,……,,True
,......就连时间也在此冻结♪,,0,,,,,56,......就连时间也在此冻结♪,……時間さえもここで凍りついている♪,,True
,......,,0,,,,,57,......,……,,True
,我知道 他们讨厌我 但是 他们是因为我做错了 讨厌我,,0,,,,,58,我知道 他们讨厌我 但是 他们是因为我做错了 讨厌我,私は分かっています。彼らは私のことを嫌っています。でも彼らが嫌うのは、私が間違ったからです。,,True
,我不想再做错,,0,,,,,59,我不想再做错,私はもう間違えたくありません。,,True
,......,,0,,,,,60,......,……,,True
dialog,,,0,,,,,61,,,,True
blocker,,,0,,,,,62,,,,True
,博士！我已经说过，无论是消除病兆还是清除病原，对于我来说都是一样的！,,0,,,,,63,博士！我已经说过，无论是消除病兆还是清除病原，对于我来说都是一样的！,ドクター！私はすでに申し上げました、病兆を消し去ることも病原を除去することも、私にとっては同じことです！,,True
dialog,,,0,,,,,64,,,,True
blocker,,,0,,,,,65,,,,True
,......,,0,,,,,66,......,……,,True
,好暗啊 会走到哪里去呢？,,0,,,,,67,好暗啊 会走到哪里去呢？,とても暗いですね。どこに行くのでしょうか？,,True
,......,,0,,,,,68,......,……,,True
dialog,,,0,,,,,69,,,,True
blocker,,,0,,,,,70,,,,True
,那你就快选！,,0,,,,,71,那你就快选！,それなら早く選びなさい！,,True
,......,,0,,,,,72,......,……,,True
,照我说的做！,,0,,,,,73,照我说的做！,私の言う通りにしなさい！,,True
,......,,0,,,,,74,......,……,,True
dialog,,,0,,,,,75,,,,True
blocker,,,0,,,,,76,,,,True
subtitle,“我不想伤害别人。我也不想被别人伤害。这两件事，我都不想。”,,0,,,,,77,“我不想伤害别人。我也不想被别人伤害。这两件事，我都不想。”,「私は他人を傷つけたくありません。私も他人に傷つけられたくありません。この二つのこと、私はどちらも望んでいません。」,,True
subtitle,,,0,,,,,78,,,,True
,......,,0,,,,,79,......,……,,True
,这是梦吧？,,0,,,,,80,这是梦吧？,これは夢でしょうか？,,True
,所有人都静静地呆着 笑着的梦,,0,,,,,81,所有人都静静地呆着 笑着的梦,みんなが静かにして笑っている夢。,,True
,梦该醒了 梦总要醒的 如果梦没有醒 就只是停在原地,,0,,,,,82,梦该醒了 梦总要醒的 如果梦没有醒 就只是停在原地,夢は覚めるものです。夢は必ず覚めます。もし夢が覚めなければ、ただその場にとどまるだけです。,,True
,该向前走了,,0,,,,,83,该向前走了,前に進まなければなりません。,,True
,......,,0,,,,,84,......,……,,True
dialog,,,0,,,,,85,,,,True
blocker,,,0,,,,,86,,,,True
,关闭舱口！处理掉所有子体感染源，快！,,0,,,,,87,关闭舱口！处理掉所有子体感染源，快！,ハッチを閉めてください！全ての胞子感染源を処理してください、早く！,,True
dialog,,,0,,,,,88,,,,True
blocker,,,0,,,,,89,,,,True
,......,,0,,,,,90,......,……,,True
,走吧 走吧,,0,,,,,91,走吧 走吧,行きましょう、行きましょう。,,True
,还是不要回头了,,0,,,,,92,还是不要回头了,やはり振り返らないほうがいい。,,True
,我想 我想到了,,0,,,,,93,我想 我想到了,考えました、思い出しました。,,True
,应该告诉他们这件事,,0,,,,,94,应该告诉他们这件事,彼らにこのことを伝えるべきです。,,True
,对 应该告诉他们,,0,,,,,95,对 应该告诉他们,そうです、彼らに伝えるべきです。,,True
,活着很好 活着很宝贵 活着很痛 但也有朋友 也走过了很长的路,,0,,,,,96,活着很好 活着很宝贵 活着很痛 但也有朋友 也走过了很长的路,生きることは素晴らしい。生きることは尊い。生きることは苦しい。でも友達もいます。長い道のりも歩いてきました。,,True
,我想起来了,,0,,,,,97,我想起来了,思い出しました。,,True
,我也得告诉他们,,0,,,,,98,我也得告诉他们,私も彼らに伝えなければなりません。,,True
,活着很好,,0,,,,,99,活着很好,生きることは素晴らしい。,,True
,走吧,,0,,,,,100,走吧,行きましょう,,True
,再见了 家 再见了 为我唱歌的人 再见了 姐姐 再见 萨沙,,0,,,,,101,再见了 家 再见了 为我唱歌的人 再见了 姐姐 再见 萨沙,さようなら、家よ さようなら、私のために歌ってくれた人よ さようなら、お姉さん さようなら、サーシャ,,True
,再见了 朋友,,0,,,,,102,再见了 朋友,さようなら、友よ,,True
delay,,,0,,,,,103,,,,True
dialog,,,0,,,,,104,,,,True
stopmusic,,,0,,,,,105,,,,True
blocker,,,0,,,,,106,,,,True
background,,,0,,,bg_graduatecore,,107,,,,True
blocker,,,0,,,,,108,,,,True
delay,,,0,,,,,109,,,,True
character,,char_003_kalts_1,0,,,,,110,,,char_003_kalts_1,True
,凯尔希的手指划过控制面板，石棺低沉的轰鸣声随之消失。,,0,,,,,111,凯尔希的手指划过控制面板，石棺低沉的轰鸣声随之消失。,ケルシーの指がコントロールパネルをなぞると、石棺の低く響く轟音が消えた。,,True
dialog,,,0,,,,,112,,,,True
decision,这样就......结束了。,,1,1,,,1,113,这样就......结束了。,これで……終わった。,,True
predicate,,,0,,1,,,114,,,,True
name,我们阻止了一场突发性的灾难。,凯尔希,0,,,,,115,我们阻止了一场突发性的灾难。,私たちは突発的な災害を防ぎました。,ケルシー,True
name,......我们已经履行了职责，完成了任务。切尔诺伯格核心城失去了它的能量来源。,凯尔希,0,,,,,116,......我们已经履行了职责，完成了任务。切尔诺伯格核心城失去了它的能量来源。,……私たちは任務を果たし、責務を全うしました。チェルノボーグのコアシティはそのエネルギー源を失いました。,ケルシー,True
name,我可以保证在数年内，这个设施不会再被重新启动。,凯尔希,0,,,,,117,我可以保证在数年内，这个设施不会再被重新启动。,数年の間、この施設が再起動されることはないと保証します。,ケルシー,True
name,接下来的这几个小时中，核心城将只能依靠已储存的能量来驱动引擎运转，一旦储能耗尽，整座城市就形同废铁。,凯尔希,0,,,,,118,接下来的这几个小时中，核心城将只能依靠已储存的能量来驱动引擎运转，一旦储能耗尽，整座城市就形同废铁。,これから数時間の間、コアシティは蓄えられたエネルギーだけでエンジンを動かします。蓄電が尽きれば、都市全体はただの廃鉄と化します。,ケルシー,True
name,我们已经做了我们能做的。只是，想要让它在撞上龙门前彻底停下，也还是要利用核心城的紧急制动阀。,凯尔希,0,,,,,119,我们已经做了我们能做的。只是，想要让它在撞上龙门前彻底停下，也还是要利用核心城的紧急制动阀。,私たちはできることをしました。ただ、龍門に衝突する前に完全に停止させるには、コアシティの非常ブレーキを使う必要があります。,ケルシー,True
name,那是阿米娅的任务。只有阿米娅才适合去执行的任务。,凯尔希,0,,,,,120,那是阿米娅的任务。只有阿米娅才适合去执行的任务。,それはアーミヤの任務です。アーミヤしか遂行できない任務です。,ケルシー,True
decision,这座城市会被留在这里吗？,,1,1,,,1,121,这座城市会被留在这里吗？,この都市はここに残されるのですか？,,True
predicate,,,0,,1,,,122,,,,True
name,如果乌萨斯帝国还想要它的话，就由他们去吧。,凯尔希,0,,,,,123,如果乌萨斯帝国还想要它的话，就由他们去吧。,もしウルサス帝国がまだ欲しいなら、彼らに任せましょう。,ケルシー,True
delay,,,0,,,,,124,,,,True
dialog,,,0,,,,,125,,,,True
blocker,,,0,,,,,126,,,,True
background,,,0,,,bg_graduatecore,,127,,,,True
character,,,0,,,,,128,,,,True
blocker,,,0,,,,,129,,,,True
playmusic,,,0,,,,,130,,,,True
decision,你不害怕帝国重新将它投入使用？,,1,1,,,1,131,你不害怕帝国重新将它投入使用？,帝国が再びそれを使用するのを恐れていませんか？,,True
predicate,,,0,,1,,,132,,,,True
character,,char_003_kalts_1,0,,,,,133,,,char_003_kalts_1,True
name,......,凯尔希,0,,,,,134,......,……,ケルシー,True
name,这里曾经发生过两件与我有关的事。,凯尔希,0,,,,,135,这里曾经发生过两件与我有关的事。,ここでは私に関係する二つの出来事がありました。,ケルシー,True
name,第一次，是在二十多年前。,凯尔希,0,,,,,136,第一次，是在二十多年前。,最初は二十年以上前のことです。,ケルシー,True
name,二十多年前，乌萨斯鲍里斯集团旗下的小型矿业公司在南部山脉挖掘出了一组奇特的设备。,凯尔希,0,,,,,137,二十多年前，乌萨斯鲍里斯集团旗下的小型矿业公司在南部山脉挖掘出了一组奇特的设备。,二十年以上前に、ウルサスのボリスグループ傘下の小規模鉱業会社が南部の山脈で奇妙な装置の一式を発掘しました。,ケルシー,True
name,这个消息迅速地传入了集团掌权者——鲍里斯侯爵的耳中。,凯尔希,0,,,,,138,这个消息迅速地传入了集团掌权者——鲍里斯侯爵的耳中。,この情報は迅速にグループの支配者、ボリス侯爵の耳に届きました。,ケルシー,True
name,当时，侯爵做出了一个大胆的选择，他尝试去建设一座设施齐全的工业城市，以期摆脱对军控矿业与军工代产的依赖。,凯尔希,0,,,,,139,当时，侯爵做出了一个大胆的选择，他尝试去建设一座设施齐全的工业城市，以期摆脱对军控矿业与军工代产的依赖。,当時、侯爵は大胆な選択をし、軍需資源と軍工生産への依存から脱却するために、設備の整った工業都市の建設を試みました。,ケルシー,True
name,现在，无论这组设备是神民的奇异遗产还是萨卡兹的巫术机器，只要它能运作，它就能为鲍里斯集团提供一个突破口。,凯尔希,0,,,,,140,现在，无论这组设备是神民的奇异遗产还是萨卡兹的巫术机器，只要它能运作，它就能为鲍里斯集团提供一个突破口。,現在、この装置が神民の奇妙な遺産であれ、サカズの魔術機械であれ、稼働さえすればボリスグループに突破口をもたらすでしょう。,ケルシー,True
name,当然，它也许就是块废铁，再怎么研究也不会出结果；它也可能是个威胁，把数个聚落在一眨眼的时间里夷为平地。,凯尔希,0,,,,,141,当然，它也许就是块废铁，再怎么研究也不会出结果；它也可能是个威胁，把数个聚落在一眨眼的时间里夷为平地。,もちろん、それはただの廃鉄かもしれず、どんなに研究しても成果は出ないかもしれません；また、数か所の集落を一瞬で壊滅させる脅威である可能性もあります。,ケルシー,True
name,一支优秀的科学家队伍被组建了起来，他们年轻，厌倦单纯的理论，愤世嫉俗，需要钱，而且长年遭受学术压榨。,凯尔希,0,,,,,142,一支优秀的科学家队伍被组建了起来，他们年轻，厌倦单纯的理论，愤世嫉俗，需要钱，而且长年遭受学术压榨。,優秀な科学者チームが組織されました。彼らは若く、単純な理論に飽き、皮肉屋で、お金を必要とし、長年学問の圧迫に耐えてきました。,ケルシー,True
decision,你加入了他们。,,1,1,,,1,143,你加入了他们。,あなたは彼らに加わりました。,,True
predicate,,,0,,1,,,144,,,,True
name,是的。,凯尔希,0,,,,,145,是的。,はい。,ケルシー,True
name,在我离开哥伦比亚之后，我通过自己的信息渠道了解到了这件事。我加入了这个团队——防止他们把一整城的人炸上天。,凯尔希,0,,,,,146,在我离开哥伦比亚之后，我通过自己的信息渠道了解到了这件事。我加入了这个团队——防止他们把一整城的人炸上天。,コロンビアを去った後、私は独自の情報網でこの件を知りました。私はこのチームに加わりました――彼らが都市全体を爆破するのを防ぐために。,ケルシー,True
name,凭借我的知识，我开始指导这些科学家们。,凯尔希,0,,,,,147,凭借我的知识，我开始指导这些科学家们。,私の知識をもって、これらの科学者たちを指導し始めました。,ケルシー,True
name,切尔诺伯格并不是座纯粹的新兴城市，之前的它又老又破。,凯尔希,0,,,,,148,切尔诺伯格并不是座纯粹的新兴城市，之前的它又老又破。,チェルノボーグは純粋な新興都市ではなく、以前は古くて荒廃していました。,ケルシー,True
name,在这些科学家意识到这台仪器的真正作用之前，我允许它输出一定量的能源，为切尔诺伯格提供独立于源石的另一种资源，不多，但依然可观。,凯尔希,0,,,,,149,在这些科学家意识到这台仪器的真正作用之前，我允许它输出一定量的能源，为切尔诺伯格提供独立于源石的另一种资源，不多，但依然可观。,これらの科学者たちがこの装置の本当の働きを理解する前に、私は一定量のエネルギー出力を許可し、チェルノボーグにオリジニウムとは異なる資源を提供させました。少量ですが、それでもかなりのものでした。,ケルシー,True
name,鲍里斯侯爵很兴奋，他付了钱，也的确得到了回报。,凯尔希,0,,,,,150,鲍里斯侯爵很兴奋，他付了钱，也的确得到了回报。,ボリス侯爵はとても興奮していました。彼はお金を払い、確かに見返りを得ました。,ケルシー,True
name,侯爵的确是个有商业眼光的人。,凯尔希,0,,,,,151,侯爵的确是个有商业眼光的人。,侯爵は確かに商才のある人物です。,ケルシー,True
name,切尔诺伯格快速地发展起来，吸引了不少同样渴求机会的人。,凯尔希,0,,,,,152,切尔诺伯格快速地发展起来，吸引了不少同样渴求机会的人。,チェルノボーグは急速に発展し、多くの同じくチャンスを求める人々を惹きつけました。,ケルシー,True
name,也有许多小城市加入了鲍里斯集团，因为敬重鲍里斯本人，或者是被侯爵的好胃口所震慑。,凯尔希,0,,,,,153,也有许多小城市加入了鲍里斯集团，因为敬重鲍里斯本人，或者是被侯爵的好胃口所震慑。,また、多くの小さな都市がボリスグループに加わりました。ボリス本人を敬い、あるいは侯爵の旺盛な食欲に圧倒されたからです。,ケルシー,True
name,切尔诺伯格崭露头角，科学家们的研究也有了重大突破。,凯尔希,0,,,,,154,切尔诺伯格崭露头角，科学家们的研究也有了重大突破。,チェルノボーグは頭角を現し、科学者たちの研究も大きな突破を遂げました。,ケルシー,True
name,我也许......该阻止他们。,凯尔希,0,,,,,155,我也许......该阻止他们。,私はおそらく……彼らを止めるべきかもしれません。,ケルシー,True
decision,你接着说，没事儿。,,3,1,,,1;2;3,156,你接着说，没事儿。,続けてください、どうぞ。,,True
decision,......,,3,2,,,1;2;3,157,......,……,,True
decision,如果不方便的话，也不用勉强自己。,,3,3,,,1;2;3,158,如果不方便的话，也不用勉强自己。,もし無理なら、無理をなさらなくても結構です。,,True
predicate,,,0,,1;2;3,,,159,,,,True
name,接着说吧。,凯尔希,0,,,,,160,接着说吧。,続けてください。,ケルシー,True
name,我的几个优秀学生自己探知了这组仪器的秘密，他们首先察觉到，他们所利用的能源只是仪器运作的副作用，休眠模式......,凯尔希,0,,,,,161,我的几个优秀学生自己探知了这组仪器的秘密，他们首先察觉到，他们所利用的能源只是仪器运作的副作用，休眠模式......,私の数人の優秀な学生がこの機器の秘密を独自に探り、彼らはまず、彼らが利用しているエネルギーは機器の動作の副産物に過ぎず、それは休眠モードであることに気づきました……,ケルシー,True
name,这些能源原本是用来让仪器正常运作的。,凯尔希,0,,,,,162,这些能源原本是用来让仪器正常运作的。,これらのエネルギーは元来、機器を正常に稼働させるためのものでした。,ケルシー,True
name,另外，他们明白了一件事，那就是源源不断供给给切尔诺伯格的能量，只是这组设备的供能装置所能提供能量的一小部分。极小的一部分。,凯尔希,0,,,,,163,另外，他们明白了一件事，那就是源源不断供给给切尔诺伯格的能量，只是这组设备的供能装置所能提供能量的一小部分。极小的一部分。,さらに彼らは1つの事実を理解しました。チェルノボーグに絶えず供給されるエネルギーは、この装置の供エネルギー装置が提供できるエネルギーのごく一部、極めて小さな一部分に過ぎないのです。,ケルシー,True
