command,text_orig,key,is_skippable,fit_mode,time,intro,volume,fadetime,a,r,g,b,block,image,screenadapt,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
playmusic,,$drift_loop,,,,$drift_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
stopmusic,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
blocker,,,,,,,,2,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,7,,,,False
background,,,,,,,,,,,,,,bg_snowconutry_1,coverall,,,,,,,,,,,,,,,,,,8,,,,False
blocker,,,,,,,,3,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,9,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
playmusic,,$darkness01_loop,,,,$darkness01_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
character,,,,,,,,,,,,,,,,avg_npc_080,,,,,,,,,,,,,,,,,14,,,,False
name,塔露拉，你怎么了？,,,,,,,,,,,,,,,感染者战士,,,,,,,,,,,,,,,,,15,塔露拉，你怎么了？,タルラ、どうしたの？,感染者戦士,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,,,,,,,,,16,,,,False
name,......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,17,......,……,タルラ,True
name,什么？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,18,什么？,何？,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,1,,,,,,,,,,,,,,,19,,,,False
name,这几个月你消沉了好多。发生什么事了？,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,20,这几个月你消沉了好多。发生什么事了？,この数ヶ月、あなたはずいぶん落ち込んでいるね。何かあったの？,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,2,,,,,,,,,,,,,,,21,,,,False
name,没什么......没什么。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,22,没什么......没什么。,何でもありません……何でもないです。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_080,avg_npc_078,1,,,,,,,,,,,,,,,23,,,,False
name,我跟你们的时间不长，但按他们说的，以前的你......会不会活泼点儿？,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,24,我跟你们的时间不长，但按他们说的，以前的你......会不会活泼点儿？,君たちと一緒にいた時間は長くないけど、彼らの言うところによると、以前の君は……もう少し元気だったのじゃないか？,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_058,,,,,,,,,,,,,,,,,25,,,,False
name,喂。她没架子这点本来就很难得了。你刚这些话，你去对大尉说说？别太过分。,,,,,,,,,,,,,,,盾卫,,,,,,,,,,,,,,,,,26,喂。她没架子这点本来就很难得了。你刚这些话，你去对大尉说说？别太过分。,おい。彼女がどんかんで素直なのは元々珍しいことだ。さっきの言葉、そのまま大尉に言ってみろ？やりすぎるなよ。,盾衛,True
character,,,,,,,,,,,,,,,,avg_npc_058,avg_npc_080,2,,,,,,,,,,,,,,,27,,,,False
name,那我不敢。,,,,,,,,,,,,,,,感染者,,,,,,,,,,,,,,,,,28,那我不敢。,それは遠慮します。,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,,,,,,,,,29,,,,False
name,爱国者先生没他说的那么可怕。盾卫都这样，别往心里去。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,30,爱国者先生没他说的那么可怕。盾卫都这样，别往心里去。,パトリオットさんは言われているほど怖くないです。盾衛はみんなああいう感じなので、気にしないでくださいね。,タルラ,True
