command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,name,name2,focus,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
delay,,,,,1,,,,,,,,,,,,,,1,,,,False
playmusic,,$drift_loop,,,,$drift_intro,0.4,,,,,,,,,,,,2,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,3,,,,False
background,,,,,,,,,,,,,,bg_snow_2,coverall,,,,4,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,5,,,,False
delay,,,,,1,,,,,,,,,,,,,,6,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,7,,,,False
background,,,,,,,,,,,,,,bg_ruins_1,coverall,,,,8,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,9,,,,False
delay,,,,,1,,,,,,,,,,,,,,10,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,11,,,,False
name,没错，是这里。,,,,,,,,,,,,,,,塔露拉,,,12,没错，是这里。,そう、ここだ。,タルラ,True
name,那些纠察队就是在这座废弃城市里新设了哨站。黑衣黑甲的毒虫子......啃食庄稼，连根都不给我们剩下。,,,,,,,,,,,,,,,塔露拉,,,13,那些纠察队就是在这座废弃城市里新设了哨站。黑衣黑甲的毒虫子......啃食庄稼，连根都不给我们剩下。,あの巡察隊はこの廃墟となった都市に新しく哨所を設置した。黒衣黒甲の害虫ども……作物を食い荒らして、根こそぎ何も残さない。,タルラ,True
name,......这座城大概被废弃了有十几年了。,,,,,,,,,,,,,,,塔露拉,,,14,......这座城大概被废弃了有十几年了。,……この町はおそらく十数年前から廃墟になっている。,タルラ,True
name,核心设备被拉走，居民也一个不剩，留下的这些建筑和地块不知什么时候也会被拆得干干净净。,,,,,,,,,,,,,,,塔露拉,,,15,核心设备被拉走，居民也一个不剩，留下的这些建筑和地块不知什么时候也会被拆得干干净净。,中枢装置は持ち去られ、住民も一人も残っていない。残された建物や土地も、いつか全て綺麗に取り壊されるだろう。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_078#4,avg_npc_080,2,16,,,,False
