command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
image,,,,avg_8_27,,,
blocker,,,,,,,
playsound,,,,,,,
,那是现在的她印象最深的事情之一。,,,,,それは今の彼女が最も印象に残っている出来事の一つです。,
,那是她“贵族生活”结束的那一天。,,,,,それが彼女の「貴族生活」が終わったその日だった。,
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
blocker,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_hall_1,,,
blocker,,,,,,,
delay,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
character,,avg_npc_060,,,,,
delay,,,,,,,
name,你回来了。,斐迪亚贵族,,,,お帰りなさいませ。,フェディア貴族
character,,avg_npc_078,,,,,
name,......,塔露拉,,,,......,タルラ
character,,avg_npc_060,,,,,
name,你不是不喜欢那把剑吗，怎么会随身带着它？,斐迪亚贵族,,,,あなたはあの剣が嫌いだったのに、どうして持ち歩いているのですか？,フェディア貴族
character,,avg_npc_078,,,,,
name,只是顺手。,塔露拉,,,,ただ手近にあっただけです。,タルラ
character,,avg_npc_060,,,,,
name,喔。,斐迪亚贵族,,,,ああ。,フェディア貴族
character,,avg_npc_060,,,,,
name,你身上沾着泥土的味道，但没浸着血腥味，也没擦上焦糊味。你的女仆说你没来得及沐浴更衣就急着来见我，所以，我猜，你没有动手。,斐迪亚贵族,,,,あなたには土の匂いがついていますが、血の匂いも焦げた匂いもありません。あなたの侍女が言うには、あなたは急いで私に会いに来たので、入浴や着替えをする時間がなかったそうです。だから、私はあなたが手を下さなかったと推測します。,フェディア貴族
name,你找到了更好的办法了吗，塔露拉？对付这根眼中钉，肉中刺？是因为找到了更好的办法，所以没有按我说的去做，是吗？,斐迪亚贵族,,,,あなたはより良い方法を見つけたのですか、タルラ？この目の上のこぶし、肉に刺さる棘に対する？より良い方法を見つけたから、私の言った通りにしなかったのですね？,フェディア貴族
character,,avg_npc_060,2,,avg_npc_078,,
name,你不单单是想让我除掉安东尼奥少校。你诱骗我去杀一个孩子。,塔露拉,,,,あなたは単に私にアントニオ少佐を排除させたいだけではありません。私を騙して子供を殺させようとしました。,タルラ
character,,avg_npc_060,2,,avg_npc_078#4,,
name,科西切......一个孩子。安东尼奥带着他的儿子旅行，你让我栽赃他，宪兵会在他去下一座城市的路上把他打死，他的儿子也没可能幸免于难。,塔露拉,,,,コシチェ......子供です。アントニオは息子を連れて旅をしていました。あなたは私に彼をはめろと言い、憲兵は次の町へ向かう途中で彼を殺し、息子も助かることはできません。,タルラ
character,,avg_npc_060,1,,avg_npc_078#4,,
name,安东尼奥很会利用掩护。你一定能看得出，那个少年并不是他的儿子。,科西切,,,,アントニオは隠れ蓑をうまく使います。あなたはあの少年が彼の息子ではないことに気付いているはずです。,コシチェ
character,,avg_npc_060,2,,avg_npc_078#4,,
name,呵......,塔露拉,,,,はあ......,タルラ
character,,avg_npc_060,1,,avg_npc_078#4,,
name,我也教过你，在我们有更重要的目标时，我们不可避免地会在道德和资源上做出牺牲。,科西切,,,,私はあなたに教えたことがあります。より重要な目標があるとき、私たちは道徳的にも資源的にも犠牲を払わざるを得ないと。,コシチェ
name,你放走安东尼奥，下一次他就会出现在维多利亚某个特务官的官邸里。,科西切,,,,あなたがアントニオを逃がしたら、次はヴィクトリアのある特務官の邸宅に現れるでしょう。,コシチェ
name,讨人厌的小菲林们会对着我们四座城市接下来一年里的航线指指点点......,科西切,,,,うるさい小さなフィリンズたちが、今後一年間の私たち四つの都市の航路をあれこれ言い始めます……,コシチェ
name,......借此指认我们的贸易伙伴，查阅我们的资源来源，勾勒我们的进出口路线，洞悉我们的防御布置。,科西切,,,,……それを利用して私たちの貿易相手を洗い出し、資源の供給元を調べ、輸出入のルートを描き、我々の防衛配置を見通すのです。,コシチェ
character,,avg_npc_060,2,,avg_npc_078,,
name,我已经毁掉了文件。,塔露拉,,,,私はすでに書類を破棄しました。,タルラ
character,,avg_npc_060,1,,avg_npc_078,,
name,很好！做得很好。你是能够做到的，不是吗？,科西切,,,,よくやった！とても良くできた。あなたならできるはずですよね？,コシチェ
