command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_snow_2,,,
blocker,,,,,,,
delay,,,,,,,
,晖洁：,,,,,晖洁：,
,最开始成为感染者的时候，我过得浑浑噩噩的。,,,,,感染者になったばかりの頃、私はぼんやりとした日々を過ごしていました。,
,我知道科西切想利用我做很多事，但总是在害怕，他究竟要我做什么？,,,,,私はコシチェが私を使っていろいろなことをさせたいのは分かっているけど、いつも怖くて、彼は一体何を私にさせたいのだろう？,
,他是不是打算用些什么手段，让我花这么多时间建立起的感染者通信网毁于一旦？,,,,,彼は何か手段を使って、私が何時間もかけて築き上げた感染者の通信網を一瞬で壊そうとしているのか？,
,还是说，他打算让我分裂感染者，让他们分散成城市派和聚落派？,,,,,それとも、彼は私に感染者を分裂させて、都市派と集落派に分散させるつもりなのだろうか？,
,更可怕的一种情况是，他会不会打算让感染者成为新的军队，重新让乌萨斯走入战争？,,,,,もっと恐ろしいのは、彼が感染者を新たな軍隊にし、再びウーサスを戦争へと導こうとしているのではないかということだ。,
,我只能猜测。灰暗萦绕在我的头上，挥之不去。,,,,,私はただ推測するしかない。灰色の陰りが頭の上にまとわりつき、払っても消えない。,
,但我只能向前走。,,,,,でも、私は前に進むしかない。,
,有个雪怪，似乎是叫佩特洛娃的，她昨天拿瘤奶炒了油籽，这做法真奇特。味道还挺有趣的。,,,,,雪男がいて、ペトロワというらしいんだけど、彼女は昨日、腫瘍のある乳から油の種を炒めたんだって。このやり方は本当に珍しいね。味もかなり面白かったよ。,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_snowconutry_1,,,
blocker,,,,,,,
delay,,,,,,,
character,,avg_npc_079,,,,,
delay,,,,,,,
name,那件事......我想起来了。真快，这都过去两年了。,阿丽娜,,,,あの件……思い出しました。早いものですね、もう2年も経ちました。,アリーナ
name,战士们传来传去的是真的吗，所以你真和她打了一架？听说你们把那个废弃城市都炸没了。,阿丽娜,,,,戦士たちの間で噂になっているのは本当ですか？本当に彼女と戦ったのですか？廃墟となったあの街を全部爆破したとか。,アリーナ
character,,avg_npc_079,2,,avg_npc_078#2,,
name,没那么夸张。传言总是会变得越来越匪夷所思......我只是把她的源石冰晶烧化了。,塔露拉,,,,そこまで大げさじゃないですよ。噂というのはどんどん信じがたい話になっていくものです……私はただ彼女の源石結晶を焼き溶かしただけです。,タルーラ
dialog,,,,,,,
character,,,,,,,
playsound,,,,,,,
delay,,,,,,,
character,,avg_npc_079#5,,,,,
name,萨申卡，不准乱跑，会滑倒的！,阿丽娜,,,,サーシャンカ、勝手に走り回らないでください。滑って転んでしまいますよ！,アリーナ
character,,avg_npc_079#5,2,,avg_npc_078#2,,
name,看他们这能够自在生活的样子。挺好的。,塔露拉,,,,彼らがこうして自由に暮らしている様子を見ると、いいものですね。,タルーラ
character,,avg_npc_079,1,,avg_npc_078#2,,
name,这就是我的职责。,阿丽娜,,,,それが私の役目ですから。,アリーナ
character,,avg_npc_079,2,,avg_npc_078#2,,
name,没想到你会自告奋勇去教孩子们。,塔露拉,,,,あなたが自ら進んで子供たちに教えるなんて思いませんでした。,タルーラ
character,,avg_npc_079,1,,avg_npc_078#2,,
name,我跟孩子的感情可比跟乌萨斯之间的感情好。你刚才说你把什么东西烧化了？,阿丽娜,,,,私は子供たちとはウルサスの連中よりずっと仲良くしています。さっき言ってた、何を焼き溶かしたんですか？,アリーナ
character,,avg_npc_079,2,,avg_npc_078#2,,
name,霜星的源石冰晶。她小队使用的一种法术装置，我猜。,塔露拉,,,,それはフロストノヴァの源石結晶です。彼女の小隊が使う魔法装置の一種だと思います。,タルーラ
character,,avg_npc_079,1,,avg_npc_078#2,,
name,那可是......霜星，她肯定不服气。,阿丽娜,,,,それは……フロストノヴァじゃないですか。きっと彼女は面白く思っていないでしょうね。,アリーナ
character,,avg_npc_079,2,,avg_npc_078#2,,
name,哈，没错。吐一口气的功夫，我就被她冻上了半边身子。,塔露拉,,,,はは、そうです。息を吐く間に、私は彼女に体の半分を凍らされました。,タルーラ
name,等我反应过来，她已经冲着我的脖子一冰刀砍过来了。,塔露拉,,,,私が気づくと、彼女はすでに私の首に氷の刃を振り下ろしていました。,タルラ
