command,text,name,image,jp_text,jp_name
header,,,,,
stopmusic,,,,,
delay,,,,,
dialog,,,,,
blocker,,,,,
background,,,bg_snow_2,,
blocker,,,,,
delay,,,,,
playmusic,,,,,
character,,avg_npc_025_1#3,,,
name,清点伤亡。,爱国者,,死傷者を数えよ。,愛国者
name,正如你所想，这场将我们当作诱饵的战斗发生了。,爱国者,,ご想像の通り、我々を囮とした戦いが起きた。,愛国者
name,你失望吗，塔露拉？,爱国者,,失望したか、タルラ？,愛国者
character,,avg_npc_078,,,
name,——不。,塔露拉,,—いいえ。,タルラ
name,他们做这一切都有原因，我也知道原因。这些确切的理由会阻止我产生过高的期望。,塔露拉,,彼らはすべて理由があって行動している。その理由も私には分かっている。だからこそ過剰な期待はしない。,タルラ
character,,avg_npc_025_1#3,,,
name,......告密者应当被处死。,爱国者,,…密告者は処刑されるべきだ。,愛国者
character,,avg_npc_078,,,
name,我们要如何从这些想自战场逃开的人里选出一个叛徒？,塔露拉,,戦場から逃げ出した者たちの中から、どうやって裏切り者を選び出せばいいの？,タルラ
character,,avg_npc_025_1#3,,,
name,这些人为了片刻的喘息出卖了同胞。对他们的袒护是对战士的伤害。,爱国者,,一時の休息のため仲間を裏切った者たちだ。彼らをかばうことは戦士たちへの傷だ。,愛国者
character,,avg_npc_078,,,
name,不，他们从来就没有“忠诚”过，先生。,塔露拉,,いいえ、彼らは最初から「忠誠」などなかったのです、先生。,タルラ
name,要求队伍里的每个人都是完人？不可能的。不会存在这样的队伍。,塔露拉,,隊に完璧な人間だけを求める？それは不可能です。そんな隊は存在しません。,タルラ
character,,avg_npc_058,,,
name,游击队——,盾卫,,ゲリラ隊――,盾衛
character,,avg_npc_078,,,
name,游击队的战士们也不是完人。,塔露拉,,ゲリラ隊の戦士たちもまた完璧な人間ではありません。,タルラ
name,你们中想得多的人也就那么些，其他的人，是因为种种原因留了下来愿意付出，却不一定想得清楚。,塔露拉,,あなた方の中でよく考える人はごく僅かで、その他の者は様々な理由で残り、尽くしたいとは思っても必ずしもよく考えてはいません。,タルラ
character,,avg_npc_025_1#3,,,
name,退下吧，士兵。不用与她争辩。,爱国者,,引け、兵士よ。彼女と議論するな。,愛国者
character,,avg_npc_078,,,
name,摧毁一座城市比建立一座城市简单得多，先生。让他们留着吧。,塔露拉,,都市を破壊するのは建設するよりずっと簡単です、先生。彼らをそのままにしましょう。,タルラ
name,如果感染者可以通过各种办法活下来，那我宁可这些方法统统都奏效。,塔露拉,,感染者が様々な方法で生き延びられるなら、私はそれら全てが成功する方がいい。,タルラ
character,,avg_npc_025_1#3,,,
name,塔露拉，你是不能设想，不去做出牺牲的。,爱国者,,タルラ、お前には犠牲を払わずに進むことはできない。,愛国者
character,,avg_npc_078,,,
name,牺牲......,塔露拉,,犠牲……,タルラ
name,这难道该是我来下决定吗？,塔露拉,,それを決めるのは私の仕事ですか？,タルラ
character,,avg_npc_025_1#3,,,
name,我们很多人都已经做好了准备。不流血，无以得胜。,爱国者,,我々の多くは既に覚悟を決めている。血を流さずして勝利なし。,愛国者
name,我很清楚。你我都很清楚。你所谓的去南方，是一场战争的导火索。,爱国者,,私はよく分かっている。お前も分かっている。お前が南へ行くというのは、戦争の導火線だ。,愛国者
name,帝国不会坐视感染者团结壮大。如果真如你宣传的那样，感染者将以一系列行为改变自己的命运，这场战争就在所难免。,爱国者,,帝国は感染者の結束と成長を看過しない。もしお前が言うように感染者が一連の行動で運命を変えるのなら、この戦争は避けられない。,愛国者
character,,avg_npc_078,,,
name,——是的。,塔露拉,,—はい。,タルラ
name,我们首先要让感染者清楚，自己的生命是有意义的。,塔露拉,,まず感染者に、自分の命が意味を持つことを理解させる。,タルラ
name,之后再发生的那些，感染者都没有义务去面对。,塔露拉,,その後に起こることは、感染者には対処する義務などない。,タルラ
character,,avg_npc_025_1#3,,,
name,你想游击队参与这场战争？,爱国者,,お前はゲリラ隊をこの戦争に参加させたいのか？,愛国者
name,塔露拉，你是想等到一场你能从中获利、找到机会的乌萨斯与他国的战争......,爱国者,,,
name,还是你想自己发动这场战争？,爱国者,,それともあなた自身がこの戦争を始めたいのですか？,パトリオット
character,,avg_npc_078,,,
name,（沉默）,塔露拉,,（沈黙）,タルラ
character,,avg_npc_025_1#3,,,
name,你不想做回答。,爱国者,,あなたは答えたくないのですね。,パトリオット
